producer_id,producer_code,producer_name,commission_rate,producer_type,state_code,producer_status,created_date
35,PRD000035,Summit Brokers,7.23,AGENT,TS,SUSPENDED,2021-02-05
36,PRD000036,Shield Brokers,9.4,INDIVIDUAL,KL,TERMINATED,2021-02-06
37,PRD000037,Crystal Brokers,12.87,AGENCY,DL,ACTIVE,2021-02-07
38,PRD000038,Infinity Brokers,10.23,BROKER,GJ,INACTIVE,2021-02-08
39,PRD000039,Vision Brokers,13.27,AGENT,RJ,SUSPENDED,2021-02-09
40,PRD000040,First Brokers,9.72,INDIVIDUAL,WB,TERMINATED,2021-02-10
41,PRD000041,Prime Agency,11.31,AGENCY,TN,ACTIVE,2021-02-11
42,PRD000042,Secure Agency,3.07,BROKER,KA,INACTIVE,2021-02-12
43,PRD000043,Elite Agency,5.35,AGENT,MH,SUSPENDED,2021-02-13
44,PRD000044,Trusted Agency,6.12,INDIVIDUAL,AP,TERMINATED,2021-02-14
45,PRD000045,Global Agency,3.5,AGENCY,TS,ACTIVE,2021-02-15
46,PRD000046,Royal Agency,5.41,BROKER,KL,INACTIVE,2021-02-16
47,PRD000047,United Agency,3.76,AGENT,DL,SUSPENDED,2021-02-17
48,PRD000048,Pioneer Agency,5.97,INDIVIDUAL,GJ,TERMINATED,2021-02-18
49,PRD000049,Smart Agency,10.45,AGENCY,RJ,ACTIVE,2021-02-19
50,PRD000050,Apex Agency,7.06,BROKER,WB,INACTIVE,2021-02-20
51,PRD000051,Blue Agency,7.13,AGENT,TN,SUSPENDED,2021-02-21
52,PRD000052,Golden Agency,5.12,INDIVIDUAL,KA,TERMINATED,2021-02-22
53,PRD000053,Future Agency,5.84,AGENCY,MH,ACTIVE,2021-02-23
54,PRD000054,Vertex Agency,14.21,BROKER,AP,INACTIVE,2021-02-24
55,PRD000055,Summit Agency,10.6,AGENT,TS,SUSPENDED,2021-02-25
56,PRD000056,Shield Agency,10.11,INDIVIDUAL,KL,TERMINATED,2021-02-26
57,PRD000057,Crystal Agency,4.64,AGENCY,DL,ACTIVE,2021-02-27
58,PRD000058,Infinity Agency,11.61,BROKER,GJ,INACTIVE,2021-02-28
59,PRD000059,Vision Agency,4.54,AGENT,RJ,SUSPENDED,2021-03-01
60,PRD000060,First Agency,7.24,INDIVIDUAL,WB,TERMINATED,2021-03-02
61,PRD000061,Prime Coverage,14.87,AGENCY,TN,ACTIVE,2021-03-03
62,PRD000062,Secure Coverage,10.5,BROKER,KA,INACTIVE,2021-03-04
63,PRD000063,Elite Coverage,9.46,AGENT,MH,SUSPENDED,2021-03-05
64,PRD000064,Trusted Coverage,11.06,INDIVIDUAL,AP,TERMINATED,2021-03-06
65,PRD000065,Global Coverage,13.04,AGENCY,TS,ACTIVE,2021-03-07
66,PRD000066,Royal Coverage,12.2,BROKER,KL,INACTIVE,2021-03-08
67,PRD000067,United Coverage,5.36,AGENT,DL,SUSPENDED,2021-03-09
68,PRD000068,Pioneer Coverage,2.9,INDIVIDUAL,GJ,TERMINATED,2021-03-10
69,PRD000069,Smart Coverage,6.44,AGENCY,RJ,ACTIVE,2021-03-11
70,PRD000070,Apex Coverage,5.85,BROKER,WB,INACTIVE,2021-03-12
71,PRD000071,Blue Coverage,5.14,AGENT,TN,SUSPENDED,2021-03-13
72,PRD000072,Golden Coverage,14.29,INDIVIDUAL,KA,TERMINATED,2021-03-14
73,PRD000073,Future Coverage,13.45,AGENCY,MH,ACTIVE,2021-03-15
74,PRD000074,Vertex Coverage,6.43,BROKER,AP,INACTIVE,2021-03-16
75,PRD000075,Summit Coverage,10.69,AGENT,TS,SUSPENDED,2021-03-17
76,PRD000076,Shield Coverage,7.45,INDIVIDUAL,KL,TERMINATED,2021-03-18
77,PRD000077,Crystal Coverage,13.93,AGENCY,DL,ACTIVE,2021-03-19
78,PRD000078,Infinity Coverage,8.24,BROKER,GJ,INACTIVE,2021-03-20
79,PRD000079,Vision Coverage,5.81,AGENT,RJ,SUSPENDED,2021-03-21
80,PRD000080,First Coverage,5.58,INDIVIDUAL,WB,TERMINATED,2021-03-22
81,PRD000081,Prime Risk,9.52,AGENCY,TN,ACTIVE,2021-03-23
82,PRD000082,Secure Risk,5.78,BROKER,KA,INACTIVE,2021-03-24
83,PRD000083,Elite Risk,9.81,AGENT,MH,SUSPENDED,2021-03-25
84,PRD000084,Trusted Risk,13.72,INDIVIDUAL,AP,TERMINATED,2021-03-26
85,PRD000085,Global Risk,7.49,AGENCY,TS,ACTIVE,2021-03-27
86,PRD000086,Royal Risk,5.24,BROKER,KL,INACTIVE,2021-03-28
87,PRD000087,United Risk,14.97,AGENT,DL,SUSPENDED,2021-03-29
88,PRD000088,Pioneer Risk,8.87,INDIVIDUAL,GJ,TERMINATED,2021-03-30
89,PRD000089,Smart Risk,3.64,AGENCY,RJ,ACTIVE,2021-03-31
90,PRD000090,Apex Risk,3.09,BROKER,WB,INACTIVE,2021-04-01
91,PRD000091,Blue Risk,3.87,AGENT,TN,SUSPENDED,2021-04-02
92,PRD000092,Golden Risk,10.34,INDIVIDUAL,KA,TERMINATED,2021-04-03
93,PRD000093,Future Risk,12.4,AGENCY,MH,ACTIVE,2021-04-04
94,PRD000094,Vertex Risk,7.78,BROKER,AP,INACTIVE,2021-04-05
95,PRD000095,Summit Risk,3.29,AGENT,TS,SUSPENDED,2021-04-06
96,PRD000096,Shield Risk,7.27,INDIVIDUAL,KL,TERMINATED,2021-04-07
97,PRD000097,Crystal Risk,14.95,AGENCY,DL,ACTIVE,2021-04-08
98,PRD000098,Infinity Risk,9.11,BROKER,GJ,INACTIVE,2021-04-09
99,PRD000099,Vision Risk,14.64,AGENT,RJ,SUSPENDED,2021-04-10
100,PRD000100,First Risk,13.26,INDIVIDUAL,WB,TERMINATED,2021-04-11
101,PRD000101,Prime Assurance,2.64,AGENCY,TN,ACTIVE,2021-04-12
102,PRD000102,Secure Assurance,11.51,BROKER,KA,INACTIVE,2021-04-13
103,PRD000103,Elite Assurance,11.02,AGENT,MH,SUSPENDED,2021-04-14
104,PRD000104,Trusted Assurance,9.21,INDIVIDUAL,AP,TERMINATED,2021-04-15
105,PRD000105,Global Assurance,5.84,AGENCY,TS,ACTIVE,2021-04-16
106,PRD000106,Royal Assurance,10.51,BROKER,KL,INACTIVE,2021-04-17
107,PRD000107,United Assurance,3.89,AGENT,DL,SUSPENDED,2021-04-18
108,PRD000108,Pioneer Assurance,7.93,INDIVIDUAL,GJ,TERMINATED,2021-04-19
109,PRD000109,Smart Assurance,8.17,AGENCY,RJ,ACTIVE,2021-04-20
110,PRD000110,Apex Assurance,14.42,BROKER,WB,INACTIVE,2021-04-21
111,PRD000111,Blue Assurance,13.45,AGENT,TN,SUSPENDED,2021-04-22
112,PRD000112,Golden Assurance,5.79,INDIVIDUAL,KA,TERMINATED,2021-04-23
113,PRD000113,Future Assurance,8.76,AGENCY,MH,ACTIVE,2021-04-24
114,PRD000114,Vertex Assurance,4.73,BROKER,AP,INACTIVE,2021-04-25
115,PRD000115,Summit Assurance,13.91,AGENT,TS,SUSPENDED,2021-04-26
116,PRD000116,Shield Assurance,13.38,INDIVIDUAL,KL,TERMINATED,2021-04-27
117,PRD000117,Crystal Assurance,6.23,AGENCY,DL,ACTIVE,2021-04-28
118,PRD000118,Infinity Assurance,10.49,BROKER,GJ,INACTIVE,2021-04-29
119,PRD000119,Vision Assurance,10.11,AGENT,RJ,SUSPENDED,2021-04-30
120,PRD000120,First Assurance,4.41,INDIVIDUAL,WB,TERMINATED,2021-05-01
121,PRD000121,Prime Services,12.03,AGENCY,TN,ACTIVE,2021-05-02
122,PRD000122,Secure Services,9.24,BROKER,KA,INACTIVE,2021-05-03
123,PRD000123,Elite Services,12.23,AGENT,MH,SUSPENDED,2021-05-04
124,PRD000124,Trusted Services,9.13,INDIVIDUAL,AP,TERMINATED,2021-05-05
125,PRD000125,Global Services,2.51,AGENCY,TS,ACTIVE,2021-05-06
126,PRD000126,Royal Services,6.55,BROKER,KL,INACTIVE,2021-05-07
127,PRD000127,United Services,2.74,AGENT,DL,SUSPENDED,2021-05-08
128,PRD000128,Pioneer Services,14.11,INDIVIDUAL,GJ,TERMINATED,2021-05-09
129,PRD000129,Smart Services,13.48,AGENCY,RJ,ACTIVE,2021-05-10
130,PRD000130,Apex Services,12.9,BROKER,WB,INACTIVE,2021-05-11
131,PRD000131,Blue Services,6.34,AGENT,TN,SUSPENDED,2021-05-12
132,PRD000132,Golden Services,3.22,INDIVIDUAL,KA,TERMINATED,2021-05-13
133,PRD000133,Future Services,13.48,AGENCY,MH,ACTIVE,2021-05-14
134,PRD000134,Vertex Services,14.34,BROKER,AP,INACTIVE,2021-05-15
135,PRD000135,Summit Services,3.57,AGENT,TS,SUSPENDED,2021-05-16
136,PRD000136,Shield Services,8.57,INDIVIDUAL,KL,TERMINATED,2021-05-17
137,PRD000137,Crystal Services,3.37,AGENCY,DL,ACTIVE,2021-05-18
138,PRD000138,Infinity Services,12.01,BROKER,GJ,INACTIVE,2021-05-19
139,PRD000139,Vision Services,12.07,AGENT,RJ,SUSPENDED,2021-05-20
140,PRD000140,First Services,4.1,INDIVIDUAL,WB,TERMINATED,2021-05-21
141,PRD000141,Prime Partners,8.44,AGENCY,TN,ACTIVE,2021-05-22
142,PRD000142,Secure Partners,9.37,BROKER,KA,INACTIVE,2021-05-23
143,PRD000143,Elite Partners,5.81,AGENT,MH,SUSPENDED,2021-05-24
144,PRD000144,Trusted Partners,13.41,INDIVIDUAL,AP,TERMINATED,2021-05-25
145,PRD000145,Global Partners,7.79,AGENCY,TS,ACTIVE,2021-05-26
146,PRD000146,Royal Partners,5.15,BROKER,KL,INACTIVE,2021-05-27
147,PRD000147,United Partners,9.24,AGENT,DL,SUSPENDED,2021-05-28
148,PRD000148,Pioneer Partners,11.62,INDIVIDUAL,GJ,TERMINATED,2021-05-29
149,PRD000149,Smart Partners,5.01,AGENCY,RJ,ACTIVE,2021-05-30
150,PRD000150,Apex Partners,6.4,BROKER,WB,INACTIVE,2021-05-31
151,PRD000151,Blue Partners,14.94,AGENT,TN,SUSPENDED,2021-06-01
152,PRD000152,Golden Partners,10.62,INDIVIDUAL,KA,TERMINATED,2021-06-02
153,PRD000153,Future Partners,7.98,AGENCY,MH,ACTIVE,2021-06-03
154,PRD000154,Vertex Partners,8.97,BROKER,AP,INACTIVE,2021-06-04
155,PRD000155,Summit Partners,4.01,AGENT,TS,SUSPENDED,2021-06-05
156,PRD000156,Shield Partners,5.31,INDIVIDUAL,KL,TERMINATED,2021-06-06
157,PRD000157,Crystal Partners,6.73,AGENCY,DL,ACTIVE,2021-06-07
158,PRD000158,Infinity Partners,9.85,BROKER,GJ,INACTIVE,2021-06-08
159,PRD000159,Vision Partners,5.38,AGENT,RJ,SUSPENDED,2021-06-09
160,PRD000160,First Partners,5.25,INDIVIDUAL,WB,TERMINATED,2021-06-10
161,PRD000161,Prime Solutions,3.39,AGENCY,TN,ACTIVE,2021-06-11
162,PRD000162,Secure Solutions,10.39,BROKER,KA,INACTIVE,2021-06-12
163,PRD000163,Elite Solutions,5.36,AGENT,MH,SUSPENDED,2021-06-13
164,PRD000164,Trusted Solutions,13.82,INDIVIDUAL,AP,TERMINATED,2021-06-14
165,PRD000165,Global Solutions,13.25,AGENCY,TS,ACTIVE,2021-06-15
166,PRD000166,Royal Solutions,3.39,BROKER,KL,INACTIVE,2021-06-16
167,PRD000167,United Solutions,5.48,AGENT,DL,SUSPENDED,2021-06-17
168,PRD000168,Pioneer Solutions,10.86,INDIVIDUAL,GJ,TERMINATED,2021-06-18
169,PRD000169,Smart Solutions,5.18,AGENCY,RJ,ACTIVE,2021-06-19
170,PRD000170,Apex Solutions,4.15,BROKER,WB,INACTIVE,2021-06-20
171,PRD000171,Blue Solutions,14.19,AGENT,TN,SUSPENDED,2021-06-21
172,PRD000172,Golden Solutions,9.64,INDIVIDUAL,KA,TERMINATED,2021-06-22
173,PRD000173,Future Solutions,8.41,AGENCY,MH,ACTIVE,2021-06-23
174,PRD000174,Vertex Solutions,12.31,BROKER,AP,INACTIVE,2021-06-24
175,PRD000175,Summit Solutions,12.59,AGENT,TS,SUSPENDED,2021-06-25
176,PRD000176,Shield Solutions,4.88,INDIVIDUAL,KL,TERMINATED,2021-06-26
177,PRD000177,Crystal Solutions,3.71,AGENCY,DL,ACTIVE,2021-06-27
178,PRD000178,Infinity Solutions,7.89,BROKER,GJ,INACTIVE,2021-06-28
179,PRD000179,Vision Solutions,7.79,AGENT,RJ,SUSPENDED,2021-06-29
180,PRD000180,First Solutions,8.34,INDIVIDUAL,WB,TERMINATED,2021-06-30
181,PRD000181,Prime Consulting,11.61,AGENCY,TN,ACTIVE,2021-07-01
182,PRD000182,Secure Consulting,10.92,BROKER,KA,INACTIVE,2021-07-02
183,PRD000183,Elite Consulting,14.8,AGENT,MH,SUSPENDED,2021-07-03
184,PRD000184,Trusted Consulting,3.73,INDIVIDUAL,AP,TERMINATED,2021-07-04
185,PRD000185,Global Consulting,7.53,AGENCY,TS,ACTIVE,2021-07-05
186,PRD000186,Royal Consulting,6.74,BROKER,KL,INACTIVE,2021-07-06
187,PRD000187,United Consulting,13.27,AGENT,DL,SUSPENDED,2021-07-07
188,PRD000188,Pioneer Consulting,5.61,INDIVIDUAL,GJ,TERMINATED,2021-07-08
189,PRD000189,Smart Consulting,4.88,AGENCY,RJ,ACTIVE,2021-07-09
190,PRD000190,Apex Consulting,8.11,BROKER,WB,INACTIVE,2021-07-10
191,PRD000191,Blue Consulting,7.77,AGENT,TN,SUSPENDED,2021-07-11
192,PRD000192,Golden Consulting,5.98,INDIVIDUAL,KA,TERMINATED,2021-07-12
193,PRD000193,Future Consulting,5.62,AGENCY,MH,ACTIVE,2021-07-13
194,PRD000194,Vertex Consulting,14.04,BROKER,AP,INACTIVE,2021-07-14
195,PRD000195,Summit Consulting,8.04,AGENT,TS,SUSPENDED,2021-07-15
196,PRD000196,Shield Consulting,13.27,INDIVIDUAL,KL,TERMINATED,2021-07-16
197,PRD000197,Crystal Consulting,9.38,AGENCY,DL,ACTIVE,2021-07-17
198,PRD000198,Infinity Consulting,3.13,BROKER,GJ,INACTIVE,2021-07-18
199,PRD000199,Vision Consulting,14.99,AGENT,RJ,SUSPENDED,2021-07-19
200,PRD000200,First Consulting,12.95,INDIVIDUAL,WB,TERMINATED,2021-07-20
201,PRD000201,Prime Insurance,14.61,AGENCY,TN,ACTIVE,2021-07-21
202,PRD000202,Secure Insurance,14.08,BROKER,KA,INACTIVE,2021-07-22
203,PRD000203,Elite Insurance,13.11,AGENT,MH,SUSPENDED,2021-07-23
204,PRD000204,Trusted Insurance,4.58,INDIVIDUAL,AP,TERMINATED,2021-07-24
205,PRD000205,Global Insurance,8.57,AGENCY,TS,ACTIVE,2021-07-25
206,PRD000206,Royal Insurance,5.17,BROKER,KL,INACTIVE,2021-07-26
207,PRD000207,United Insurance,7.51,AGENT,DL,SUSPENDED,2021-07-27
208,PRD000208,Pioneer Insurance,3.23,INDIVIDUAL,GJ,TERMINATED,2021-07-28
209,PRD000209,Smart Insurance,7.24,AGENCY,RJ,ACTIVE,2021-07-29
210,PRD000210,Apex Insurance,14.82,BROKER,WB,INACTIVE,2021-07-30
211,PRD000211,Blue Insurance,5.82,AGENT,TN,SUSPENDED,2021-07-31
212,PRD000212,Golden Insurance,12.3,INDIVIDUAL,KA,TERMINATED,2021-08-01
213,PRD000213,Future Insurance,8.19,AGENCY,MH,ACTIVE,2021-08-02
214,PRD000214,Vertex Insurance,7.79,BROKER,AP,INACTIVE,2021-08-03
215,PRD000215,Summit Insurance,14.47,AGENT,TS,SUSPENDED,2021-08-04
216,PRD000216,Shield Insurance,14.94,INDIVIDUAL,KL,TERMINATED,2021-08-05
217,PRD000217,Crystal Insurance,9.45,AGENCY,DL,ACTIVE,2021-08-06
218,PRD000218,Infinity Insurance,11.48,BROKER,GJ,INACTIVE,2021-08-07
219,PRD000219,Vision Insurance,4.43,AGENT,RJ,SUSPENDED,2021-08-08
220,PRD000220,First Insurance,6.21,INDIVIDUAL,WB,TERMINATED,2021-08-09
221,PRD000221,Prime Brokers,14.61,AGENCY,TN,ACTIVE,2021-08-10
222,PRD000222,Secure Brokers,9.74,BROKER,KA,INACTIVE,2021-08-11
223,PRD000223,Elite Brokers,9.28,AGENT,MH,SUSPENDED,2021-08-12
224,PRD000224,Trusted Brokers,11.85,INDIVIDUAL,AP,TERMINATED,2021-08-13
225,PRD000225,Global Brokers,3.21,AGENCY,TS,ACTIVE,2021-08-14
226,PRD000226,Royal Brokers,9.8,BROKER,KL,INACTIVE,2021-08-15
227,PRD000227,United Brokers,8.79,AGENT,DL,SUSPENDED,2021-08-16
228,PRD000228,Pioneer Brokers,13.16,INDIVIDUAL,GJ,TERMINATED,2021-08-17
229,PRD000229,Smart Brokers,4.47,AGENCY,RJ,ACTIVE,2021-08-18
230,PRD000230,Apex Brokers,14.51,BROKER,WB,INACTIVE,2021-08-19
231,PRD000231,Blue Brokers,3.5,AGENT,TN,SUSPENDED,2021-08-20
232,PRD000232,Golden Brokers,4.82,INDIVIDUAL,KA,TERMINATED,2021-08-21
233,PRD000233,Future Brokers,9.94,AGENCY,MH,ACTIVE,2021-08-22
234,PRD000234,Vertex Brokers,10.94,BROKER,AP,INACTIVE,2021-08-23
235,PRD000235,Summit Brokers,5.44,AGENT,TS,SUSPENDED,2021-08-24
236,PRD000236,Shield Brokers,4.0,INDIVIDUAL,KL,TERMINATED,2021-08-25
237,PRD000237,Crystal Brokers,13.63,AGENCY,DL,ACTIVE,2021-08-26
238,PRD000238,Infinity Brokers,5.58,BROKER,GJ,INACTIVE,2021-08-27
239,PRD000239,Vision Brokers,9.93,AGENT,RJ,SUSPENDED,2021-08-28
240,PRD000240,First Brokers,10.24,INDIVIDUAL,WB,TERMINATED,2021-08-29
241,PRD000241,Prime Agency,7.74,AGENCY,TN,ACTIVE,2021-08-30
242,PRD000242,Secure Agency,9.8,BROKER,KA,INACTIVE,2021-08-31
243,PRD000243,Elite Agency,9.03,AGENT,MH,SUSPENDED,2021-09-01
244,PRD000244,Trusted Agency,14.18,INDIVIDUAL,AP,TERMINATED,2021-09-02
245,PRD000245,Global Agency,5.05,AGENCY,TS,ACTIVE,2021-09-03
246,PRD000246,Royal Agency,11.45,BROKER,KL,INACTIVE,2021-09-04
247,PRD000247,United Agency,5.48,AGENT,DL,SUSPENDED,2021-09-05
248,PRD000248,Pioneer Agency,7.45,INDIVIDUAL,GJ,TERMINATED,2021-09-06
249,PRD000249,Smart Agency,10.9,AGENCY,RJ,ACTIVE,2021-09-07
250,PRD000250,Apex Agency,6.25,BROKER,WB,INACTIVE,2021-09-08
251,PRD000251,Blue Agency,6.45,AGENT,TN,SUSPENDED,2021-09-09
252,PRD000252,Golden Agency,11.9,INDIVIDUAL,KA,TERMINATED,2021-09-10
253,PRD000253,Future Agency,3.41,AGENCY,MH,ACTIVE,2021-09-11
254,PRD000254,Vertex Agency,8.23,BROKER,AP,INACTIVE,2021-09-12
255,PRD000255,Summit Agency,14.98,AGENT,TS,SUSPENDED,2021-09-13
256,PRD000256,Shield Agency,14.95,INDIVIDUAL,KL,TERMINATED,2021-09-14
257,PRD000257,Crystal Agency,3.42,AGENCY,DL,ACTIVE,2021-09-15
258,PRD000258,Infinity Agency,5.16,BROKER,GJ,INACTIVE,2021-09-16
259,PRD000259,Vision Agency,5.82,AGENT,RJ,SUSPENDED,2021-09-17
260,PRD000260,First Agency,14.17,INDIVIDUAL,WB,TERMINATED,2021-09-18
261,PRD000261,Prime Coverage,13.51,AGENCY,TN,ACTIVE,2021-09-19
262,PRD000262,Secure Coverage,13.49,BROKER,KA,INACTIVE,2021-09-20
263,PRD000263,Elite Coverage,7.12,AGENT,MH,SUSPENDED,2021-09-21
264,PRD000264,Trusted Coverage,4.47,INDIVIDUAL,AP,TERMINATED,2021-09-22
265,PRD000265,Global Coverage,12.92,AGENCY,TS,ACTIVE,2021-09-23
266,PRD000266,Royal Coverage,11.29,BROKER,KL,INACTIVE,2021-09-24
267,PRD000267,United Coverage,10.15,AGENT,DL,SUSPENDED,2021-09-25
268,PRD000268,Pioneer Coverage,14.84,INDIVIDUAL,GJ,TERMINATED,2021-09-26
269,PRD000269,Smart Coverage,10.67,AGENCY,RJ,ACTIVE,2021-09-27
270,PRD000270,Apex Coverage,2.6,BROKER,WB,INACTIVE,2021-09-28
271,PRD000271,Blue Coverage,12.71,AGENT,TN,SUSPENDED,2021-09-29
272,PRD000272,Golden Coverage,6.24,INDIVIDUAL,KA,TERMINATED,2021-09-30
273,PRD000273,Future Coverage,10.79,AGENCY,MH,ACTIVE,2021-10-01
274,PRD000274,Vertex Coverage,14.24,BROKER,AP,INACTIVE,2021-10-02
275,PRD000275,Summit Coverage,4.18,AGENT,TS,SUSPENDED,2021-10-03
276,PRD000276,Shield Coverage,3.94,INDIVIDUAL,KL,TERMINATED,2021-10-04
277,PRD000277,Crystal Coverage,3.84,AGENCY,DL,ACTIVE,2021-10-05
278,PRD000278,Infinity Coverage,9.42,BROKER,GJ,INACTIVE,2021-10-06
279,PRD000279,Vision Coverage,5.9,AGENT,RJ,SUSPENDED,2021-10-07
280,PRD000280,First Coverage,10.06,INDIVIDUAL,WB,TERMINATED,2021-10-08
281,PRD000281,Prime Risk,11.47,AGENCY,TN,ACTIVE,2021-10-09
282,PRD000282,Secure Risk,5.04,BROKER,KA,INACTIVE,2021-10-10
283,PRD000283,Elite Risk,10.43,AGENT,MH,SUSPENDED,2021-10-11
284,PRD000284,Trusted Risk,5.8,INDIVIDUAL,AP,TERMINATED,2021-10-12
285,PRD000285,Global Risk,8.61,AGENCY,TS,ACTIVE,2021-10-13
286,PRD000286,Royal Risk,13.82,BROKER,KL,INACTIVE,2021-10-14
287,PRD000287,United Risk,13.08,AGENT,DL,SUSPENDED,2021-10-15
288,PRD000288,Pioneer Risk,3.65,INDIVIDUAL,GJ,TERMINATED,2021-10-16
289,PRD000289,Smart Risk,7.79,AGENCY,RJ,ACTIVE,2021-10-17
290,PRD000290,Apex Risk,5.96,BROKER,WB,INACTIVE,2021-10-18
291,PRD000291,Blue Risk,2.54,AGENT,TN,SUSPENDED,2021-10-19
292,PRD000292,Golden Risk,12.14,INDIVIDUAL,KA,TERMINATED,2021-10-20
293,PRD000293,Future Risk,10.46,AGENCY,MH,ACTIVE,2021-10-21
294,PRD000294,Vertex Risk,5.77,BROKER,AP,INACTIVE,2021-10-22
295,PRD000295,Summit Risk,11.77,AGENT,TS,SUSPENDED,2021-10-23
296,PRD000296,Shield Risk,9.4,INDIVIDUAL,KL,TERMINATED,2021-10-24
297,PRD000297,Crystal Risk,7.85,AGENCY,DL,ACTIVE,2021-10-25
298,PRD000298,Infinity Risk,2.62,BROKER,GJ,INACTIVE,2021-10-26
299,PRD000299,Vision Risk,3.44,AGENT,RJ,SUSPENDED,2021-10-27
300,PRD000300,First Risk,13.54,INDIVIDUAL,WB,TERMINATED,2021-10-28
301,PRD000301,Prime Assurance,13.8,AGENCY,TN,ACTIVE,2021-10-29
302,PRD000302,Secure Assurance,9.32,BROKER,KA,INACTIVE,2021-10-30
303,PRD000303,Elite Assurance,12.93,AGENT,MH,SUSPENDED,2021-10-31
304,PRD000304,Trusted Assurance,9.78,INDIVIDUAL,AP,TERMINATED,2021-11-01
305,PRD000305,Global Assurance,4.35,AGENCY,TS,ACTIVE,2021-11-02
306,PRD000306,Royal Assurance,4.09,BROKER,KL,INACTIVE,2021-11-03
307,PRD000307,United Assurance,6.35,AGENT,DL,SUSPENDED,2021-11-04
308,PRD000308,Pioneer Assurance,13.74,INDIVIDUAL,GJ,TERMINATED,2021-11-05
309,PRD000309,Smart Assurance,12.45,AGENCY,RJ,ACTIVE,2021-11-06
310,PRD000310,Apex Assurance,13.26,BROKER,WB,INACTIVE,2021-11-07
311,PRD000311,Blue Assurance,13.74,AGENT,TN,SUSPENDED,2021-11-08
312,PRD000312,Golden Assurance,5.13,INDIVIDUAL,KA,TERMINATED,2021-11-09
313,PRD000313,Future Assurance,5.62,AGENCY,MH,ACTIVE,2021-11-10
314,PRD000314,Vertex Assurance,3.78,BROKER,AP,INACTIVE,2021-11-11
315,PRD000315,Summit Assurance,12.25,AGENT,TS,SUSPENDED,2021-11-12
316,PRD000316,Shield Assurance,13.55,INDIVIDUAL,KL,TERMINATED,2021-11-13
317,PRD000317,Crystal Assurance,7.58,AGENCY,DL,ACTIVE,2021-11-14
318,PRD000318,Infinity Assurance,10.26,BROKER,GJ,INACTIVE,2021-11-15
319,PRD000319,Vision Assurance,4.43,AGENT,RJ,SUSPENDED,2021-11-16
