coverage_id,policy_period_id,coverage_code,coverage_name,limit_amount,deductible_amount,coverage_start_date,coverage_end_date,coverage_status
73,73,CVG073,Third Party Liability,4289065.61,62324.07,2022-03-15,2023-03-15,ACTIVE
74,74,CVG074,Fire,5439031.28,205850.46,2022-03-16,2023-03-16,EXPIRED
75,75,CVG075,Flood,2091395.53,39793.47,2022-03-17,2023-03-17,CANCELLED
76,76,CVG076,Theft,9951978.63,340800.66,2022-03-18,2023-03-18,SUSPENDED
77,77,CVG077,Personal Accident,4437190.83,125532.18,2022-03-19,2023-03-19,ACTIVE
78,78,CVG078,Glass Protection,1297941.54,19613.69,2022-03-20,2023-03-20,EXPIRED
79,79,CVG079,Natural Disaster,3447047.07,108491.99,2022-03-21,2023-03-21,CANCELLED
80,80,CVG080,Business Interruption,2378135.85,35457.49,2022-03-22,2023-03-22,SUSPENDED
81,81,CVG081,Comprehensive,802831.55,26814.28,2022-03-23,2023-03-23,ACTIVE
82,82,CVG082,Collision,2366523.66,108254.02,2022-03-24,2023-03-24,EXPIRED
83,83,CVG083,Third Party Liability,8610390.46,70506.88,2022-03-25,2023-03-25,CANCELLED
84,84,CVG084,Fire,2456245.88,86224.06,2022-03-26,2023-03-26,SUSPENDED
85,85,CVG085,Flood,2220944.39,24328.3,2022-03-27,2023-03-27,ACTIVE
86,86,CVG086,Theft,9361590.98,287372.19,2022-03-28,2023-03-28,EXPIRED
87,87,CVG087,Personal Accident,4779443.16,192649.19,2022-03-29,2023-03-29,CANCELLED
88,88,CVG088,Glass Protection,8094220.28,109825.99,2022-03-30,2023-03-30,SUSPENDED
89,89,CVG089,Natural Disaster,1059615.06,25851.75,2022-03-31,2023-03-31,ACTIVE
90,90,CVG090,Business Interruption,4293428.37,111698.31,2022-04-01,2023-04-01,EXPIRED
91,91,CVG091,Comprehensive,7317850.91,258330.42,2022-04-02,2023-04-02,CANCELLED
92,92,CVG092,Collision,9843235.59,92809.94,2022-04-03,2023-04-03,SUSPENDED
93,93,CVG093,Third Party Liability,4085950.69,82816.57,2022-04-04,2023-04-04,ACTIVE
94,94,CVG094,Fire,8630558.11,139724.72,2022-04-05,2023-04-05,EXPIRED
95,95,CVG095,Flood,1983068.19,49948.75,2022-04-06,2023-04-06,CANCELLED
96,96,CVG096,Theft,4276628.23,74988.67,2022-04-07,2023-04-07,SUSPENDED
97,97,CVG097,Personal Accident,2573083.83,119769.21,2022-04-08,2023-04-08,ACTIVE
98,98,CVG098,Glass Protection,4486994.38,196354.06,2022-04-09,2023-04-09,EXPIRED
99,99,CVG099,Natural Disaster,5548220.59,40371.49,2022-04-10,2023-04-10,CANCELLED
100,100,CVG100,Business Interruption,9992896.44,425909.65,2022-04-11,2023-04-11,SUSPENDED
101,101,CVG101,Comprehensive,9693062.95,452535.32,2022-04-12,2023-04-12,ACTIVE
102,102,CVG102,Collision,8502087.77,106140.06,2022-04-13,2023-04-13,EXPIRED
103,103,CVG103,Third Party Liability,4907847.14,71745.99,2022-04-14,2023-04-14,CANCELLED
104,104,CVG104,Fire,4070298.9,31091.36,2022-04-15,2023-04-15,SUSPENDED
105,105,CVG105,Flood,3851833.88,190045.24,2022-04-16,2023-04-16,ACTIVE
106,106,CVG106,Theft,2725510.28,109792.21,2022-04-17,2023-04-17,EXPIRED
107,107,CVG107,Personal Accident,4604582.84,110672.7,2022-04-18,2023-04-18,CANCELLED
108,108,CVG108,Glass Protection,9577444.64,476899.48,2022-04-19,2023-04-19,SUSPENDED
109,109,CVG109,Natural Disaster,5602106.4,209117.51,2022-04-20,2023-04-20,ACTIVE
110,110,CVG110,Business Interruption,1632488.57,29959.19,2022-04-21,2023-04-21,EXPIRED
111,111,CVG111,Comprehensive,9690222.71,301008.48,2022-04-22,2023-04-22,CANCELLED
112,112,CVG112,Collision,5467732.49,211376.52,2022-04-23,2023-04-23,SUSPENDED
113,113,CVG113,Third Party Liability,665936.2,20835.81,2022-04-24,2023-04-24,ACTIVE
114,114,CVG114,Fire,5078218.79,220254.51,2022-04-25,2023-04-25,EXPIRED
115,115,CVG115,Flood,1658584.01,80001.88,2022-04-26,2023-04-26,CANCELLED
116,116,CVG116,Theft,893103.51,11933.76,2022-04-27,2023-04-27,SUSPENDED
117,117,CVG117,Personal Accident,5990847.55,211983.53,2022-04-28,2023-04-28,ACTIVE
118,118,CVG118,Glass Protection,2428518.56,25244.2,2022-04-29,2023-04-29,EXPIRED
119,119,CVG119,Natural Disaster,8913844.41,143331.86,2022-04-30,2023-04-30,CANCELLED
120,120,CVG120,Business Interruption,5985739.62,196764.24,2022-05-01,2023-05-01,SUSPENDED
121,121,CVG121,Comprehensive,4250326.66,132887.54,2022-05-02,2023-05-02,ACTIVE
122,122,CVG122,Collision,5275548.88,248276.73,2022-05-03,2023-05-03,EXPIRED
123,123,CVG123,Third Party Liability,2122166.07,79005.34,2022-05-04,2023-05-04,CANCELLED
124,124,CVG124,Fire,2462990.93,56181.72,2022-05-05,2023-05-05,SUSPENDED
125,125,CVG125,Flood,6749733.21,124869.18,2022-05-06,2023-05-06,ACTIVE
126,126,CVG126,Theft,3230154.24,125439.49,2022-05-07,2023-05-07,EXPIRED
127,127,CVG127,Personal Accident,818176.83,20964.02,2022-05-08,2023-05-08,CANCELLED
128,128,CVG128,Glass Protection,9984698.96,497481.04,2022-05-09,2023-05-09,SUSPENDED
129,129,CVG129,Natural Disaster,825281.14,12042.46,2022-05-10,2023-05-10,ACTIVE
130,130,CVG130,Business Interruption,2725484.11,128088.68,2022-05-11,2023-05-11,EXPIRED
131,131,CVG131,Comprehensive,8820555.32,393107.11,2022-05-12,2023-05-12,CANCELLED
132,132,CVG132,Collision,3758318.18,45470.42,2022-05-13,2023-05-13,SUSPENDED
133,133,CVG133,Third Party Liability,8354075.05,306254.52,2022-05-14,2023-05-14,ACTIVE
134,134,CVG134,Fire,6155609.88,304244.02,2022-05-15,2023-05-15,EXPIRED
135,135,CVG135,Flood,6574365.55,35186.27,2022-05-16,2023-05-16,CANCELLED
136,136,CVG136,Theft,8189330.94,151273.68,2022-05-17,2023-05-17,SUSPENDED
137,137,CVG137,Personal Accident,6667548.28,315053.99,2022-05-18,2023-05-18,ACTIVE
138,138,CVG138,Glass Protection,1429482.03,14572.55,2022-05-19,2023-05-19,EXPIRED
139,139,CVG139,Natural Disaster,1159656.18,34668.0,2022-05-20,2023-05-20,CANCELLED
140,140,CVG140,Business Interruption,2796247.3,90087.66,2022-05-21,2023-05-21,SUSPENDED
141,141,CVG141,Comprehensive,7204360.65,102027.28,2022-05-22,2023-05-22,ACTIVE
142,142,CVG142,Collision,6378955.79,107672.15,2022-05-23,2023-05-23,EXPIRED
143,143,CVG143,Third Party Liability,4936465.34,225794.63,2022-05-24,2023-05-24,CANCELLED
144,144,CVG144,Fire,8476426.76,77588.39,2022-05-25,2023-05-25,SUSPENDED
145,145,CVG145,Flood,4293400.15,74922.45,2022-05-26,2023-05-26,ACTIVE
146,146,CVG146,Theft,135102.32,5363.61,2022-05-27,2023-05-27,EXPIRED
147,147,CVG147,Personal Accident,6407422.44,107567.72,2022-05-28,2023-05-28,CANCELLED
148,148,CVG148,Glass Protection,7438185.99,221848.5,2022-05-29,2023-05-29,SUSPENDED
149,149,CVG149,Natural Disaster,4334100.5,23556.43,2022-05-30,2023-05-30,ACTIVE
150,150,CVG150,Business Interruption,844914.21,37801.28,2022-05-31,2023-05-31,EXPIRED
151,151,CVG151,Comprehensive,9048892.86,267408.93,2022-06-01,2023-06-01,CANCELLED
152,152,CVG152,Collision,8362490.7,261017.84,2022-06-02,2023-06-02,SUSPENDED
153,153,CVG153,Third Party Liability,1566128.48,16812.46,2022-06-03,2023-06-03,ACTIVE
154,154,CVG154,Fire,3151757.66,143260.52,2022-06-04,2023-06-04,EXPIRED
155,155,CVG155,Flood,7981610.82,349048.74,2022-06-05,2023-06-05,CANCELLED
156,156,CVG156,Theft,8999353.9,130071.66,2022-06-06,2023-06-06,SUSPENDED
157,157,CVG157,Personal Accident,2570344.42,24741.4,2022-06-07,2023-06-07,ACTIVE
158,158,CVG158,Glass Protection,7823150.79,350368.11,2022-06-08,2023-06-08,EXPIRED
159,159,CVG159,Natural Disaster,4123136.16,135773.92,2022-06-09,2023-06-09,CANCELLED
160,160,CVG160,Business Interruption,1630078.05,76360.43,2022-06-10,2023-06-10,SUSPENDED
161,161,CVG161,Comprehensive,8659596.39,423707.74,2022-06-11,2023-06-11,ACTIVE
162,162,CVG162,Collision,8126640.03,362966.05,2022-06-12,2023-06-12,EXPIRED
163,163,CVG163,Third Party Liability,345384.98,13174.85,2022-06-13,2023-06-13,CANCELLED
164,164,CVG164,Fire,3388636.13,158882.02,2022-06-14,2023-06-14,SUSPENDED
165,165,CVG165,Flood,8042127.88,352911.74,2022-06-15,2023-06-15,ACTIVE
166,166,CVG166,Theft,8126418.23,138199.96,2022-06-16,2023-06-16,EXPIRED
167,167,CVG167,Personal Accident,7895007.64,77878.75,2022-06-17,2023-06-17,CANCELLED
168,168,CVG168,Glass Protection,8734451.15,381142.59,2022-06-18,2023-06-18,SUSPENDED
169,169,CVG169,Natural Disaster,2302093.8,96104.12,2022-06-19,2023-06-19,ACTIVE
170,170,CVG170,Business Interruption,4657002.02,87242.36,2022-06-20,2023-06-20,EXPIRED
171,171,CVG171,Comprehensive,7973920.44,121536.88,2022-06-21,2023-06-21,CANCELLED
172,172,CVG172,Collision,334277.9,4576.55,2022-06-22,2023-06-22,SUSPENDED
173,173,CVG173,Third Party Liability,3349793.32,147042.13,2022-06-23,2023-06-23,ACTIVE
174,174,CVG174,Fire,9672202.13,169849.91,2022-06-24,2023-06-24,EXPIRED
175,175,CVG175,Flood,6450669.21,148272.03,2022-06-25,2023-06-25,CANCELLED
176,176,CVG176,Theft,9813381.9,285860.95,2022-06-26,2023-06-26,SUSPENDED
177,177,CVG177,Personal Accident,9398447.69,95773.74,2022-06-27,2023-06-27,ACTIVE
178,178,CVG178,Glass Protection,9706966.05,126535.66,2022-06-28,2023-06-28,EXPIRED
179,179,CVG179,Natural Disaster,9629089.73,163174.42,2022-06-29,2023-06-29,CANCELLED
180,180,CVG180,Business Interruption,1173185.22,28808.0,2022-06-30,2023-06-30,SUSPENDED
181,181,CVG181,Comprehensive,7312596.1,139783.78,2022-07-01,2023-07-01,ACTIVE
182,182,CVG182,Collision,6101467.65,170926.74,2022-07-02,2023-07-02,EXPIRED
183,183,CVG183,Third Party Liability,3913434.79,121106.96,2022-07-03,2023-07-03,CANCELLED
184,184,CVG184,Fire,2621752.81,96730.46,2022-07-04,2023-07-04,SUSPENDED
185,185,CVG185,Flood,116743.65,5446.19,2022-07-05,2023-07-05,ACTIVE
186,186,CVG186,Theft,5430674.77,202967.94,2022-07-06,2023-07-06,EXPIRED
187,187,CVG187,Personal Accident,7445305.77,261913.07,2022-07-07,2023-07-07,CANCELLED
188,188,CVG188,Glass Protection,3705792.57,30197.84,2022-07-08,2023-07-08,SUSPENDED
189,189,CVG189,Natural Disaster,6675953.08,132577.76,2022-07-09,2023-07-09,ACTIVE
190,190,CVG190,Business Interruption,3207764.89,138449.34,2022-07-10,2023-07-10,EXPIRED
191,191,CVG191,Comprehensive,7225567.2,133777.78,2022-07-11,2023-07-11,CANCELLED
192,192,CVG192,Collision,3161918.16,73918.31,2022-07-12,2023-07-12,SUSPENDED
193,193,CVG193,Third Party Liability,4083763.83,74751.19,2022-07-13,2023-07-13,ACTIVE
194,194,CVG194,Fire,1360149.21,32534.88,2022-07-14,2023-07-14,EXPIRED
195,195,CVG195,Flood,9409600.34,333846.1,2022-07-15,2023-07-15,CANCELLED
196,196,CVG196,Theft,9037774.9,295518.71,2022-07-16,2023-07-16,SUSPENDED
197,197,CVG197,Personal Accident,3079403.76,91326.41,2022-07-17,2023-07-17,ACTIVE
198,198,CVG198,Glass Protection,104018.8,1863.09,2022-07-18,2023-07-18,EXPIRED
199,199,CVG199,Natural Disaster,4355892.68,135465.28,2022-07-19,2023-07-19,CANCELLED
200,200,CVG200,Business Interruption,6581585.67,170624.11,2022-07-20,2023-07-20,SUSPENDED
201,201,CVG201,Comprehensive,4477382.01,65443.94,2022-07-21,2023-07-21,ACTIVE
202,202,CVG202,Collision,4784543.24,217950.95,2022-07-22,2023-07-22,EXPIRED
203,203,CVG203,Third Party Liability,7980645.13,100844.33,2022-07-23,2023-07-23,CANCELLED
204,204,CVG204,Fire,939475.81,26488.84,2022-07-24,2023-07-24,SUSPENDED
205,205,CVG205,Flood,6366114.47,127853.68,2022-07-25,2023-07-25,ACTIVE
206,206,CVG206,Theft,8202392.3,318262.8,2022-07-26,2023-07-26,EXPIRED
207,207,CVG207,Personal Accident,6760677.14,102145.92,2022-07-27,2023-07-27,CANCELLED
208,208,CVG208,Glass Protection,2071386.33,12633.68,2022-07-28,2023-07-28,SUSPENDED
209,209,CVG209,Natural Disaster,2523941.19,66584.43,2022-07-29,2023-07-29,ACTIVE
210,210,CVG210,Business Interruption,8512403.18,70459.46,2022-07-30,2023-07-30,EXPIRED
211,211,CVG211,Comprehensive,4202966.01,140124.54,2022-07-31,2023-07-31,CANCELLED
212,212,CVG212,Collision,2024908.84,73576.97,2022-08-01,2023-08-01,SUSPENDED
213,213,CVG213,Third Party Liability,4994333.97,79805.96,2022-08-02,2023-08-02,ACTIVE
214,214,CVG214,Fire,6594974.31,34620.43,2022-08-03,2023-08-03,EXPIRED
215,215,CVG215,Flood,7534548.32,298760.5,2022-08-04,2023-08-04,CANCELLED
216,216,CVG216,Theft,1155214.24,27877.14,2022-08-05,2023-08-05,SUSPENDED
217,217,CVG217,Personal Accident,1841278.15,88581.08,2022-08-06,2023-08-06,ACTIVE
218,218,CVG218,Glass Protection,5227781.73,37952.79,2022-08-07,2023-08-07,EXPIRED
219,219,CVG219,Natural Disaster,2567062.97,110833.29,2022-08-08,2023-08-08,CANCELLED
220,220,CVG220,Business Interruption,4618972.07,189672.3,2022-08-09,2023-08-09,SUSPENDED
221,221,CVG221,Comprehensive,6709019.55,331795.64,2022-08-10,2023-08-10,ACTIVE
222,222,CVG222,Collision,5994977.95,286270.88,2022-08-11,2023-08-11,EXPIRED
223,223,CVG223,Third Party Liability,8925116.67,290685.29,2022-08-12,2023-08-12,CANCELLED
224,224,CVG224,Fire,7220812.22,200124.94,2022-08-13,2023-08-13,SUSPENDED
225,225,CVG225,Flood,8322634.78,246801.39,2022-08-14,2023-08-14,ACTIVE
226,226,CVG226,Theft,8982360.22,345501.95,2022-08-15,2023-08-15,EXPIRED
227,227,CVG227,Personal Accident,4799276.92,79973.33,2022-08-16,2023-08-16,CANCELLED
228,228,CVG228,Glass Protection,2547673.4,85843.26,2022-08-17,2023-08-17,SUSPENDED
229,229,CVG229,Natural Disaster,7681555.47,218605.48,2022-08-18,2023-08-18,ACTIVE
230,230,CVG230,Business Interruption,6304809.53,109431.85,2022-08-19,2023-08-19,EXPIRED
231,231,CVG231,Comprehensive,867085.2,15484.21,2022-08-20,2023-08-20,CANCELLED
232,232,CVG232,Collision,2789979.56,54089.14,2022-08-21,2023-08-21,SUSPENDED
233,233,CVG233,Third Party Liability,5447507.0,61158.25,2022-08-22,2023-08-22,ACTIVE
234,234,CVG234,Fire,2389488.65,86565.78,2022-08-23,2023-08-23,EXPIRED
235,235,CVG235,Flood,7093549.5,55970.22,2022-08-24,2023-08-24,CANCELLED
236,236,CVG236,Theft,4135233.76,121648.24,2022-08-25,2023-08-25,SUSPENDED
237,237,CVG237,Personal Accident,4216164.92,60322.98,2022-08-26,2023-08-26,ACTIVE
238,238,CVG238,Glass Protection,4259420.83,194731.06,2022-08-27,2023-08-27,EXPIRED
239,239,CVG239,Natural Disaster,5882386.2,213522.0,2022-08-28,2023-08-28,CANCELLED
240,240,CVG240,Business Interruption,8581647.12,338561.05,2022-08-29,2023-08-29,SUSPENDED
241,241,CVG241,Comprehensive,3865772.19,20354.54,2022-08-30,2023-08-30,ACTIVE
242,242,CVG242,Collision,3582412.15,139378.69,2022-08-31,2023-08-31,EXPIRED
243,243,CVG243,Third Party Liability,8549134.71,409540.87,2022-09-01,2023-09-01,CANCELLED
244,244,CVG244,Fire,4248310.7,164147.1,2022-09-02,2023-09-02,SUSPENDED
245,245,CVG245,Flood,5506709.87,177020.71,2022-09-03,2023-09-03,ACTIVE
246,246,CVG246,Theft,2283333.07,33962.24,2022-09-04,2023-09-04,EXPIRED
247,247,CVG247,Personal Accident,4414776.16,27840.09,2022-09-05,2023-09-05,CANCELLED
248,248,CVG248,Glass Protection,3427682.48,121893.14,2022-09-06,2023-09-06,SUSPENDED
249,249,CVG249,Natural Disaster,4102735.02,50984.74,2022-09-07,2023-09-07,ACTIVE
250,250,CVG250,Business Interruption,4727162.48,50785.09,2022-09-08,2023-09-08,EXPIRED
251,251,CVG251,Comprehensive,6260343.91,38898.59,2022-09-09,2023-09-09,CANCELLED
252,252,CVG252,Collision,4000800.54,121614.89,2022-09-10,2023-09-10,SUSPENDED
253,253,CVG253,Third Party Liability,368310.26,12494.46,2022-09-11,2023-09-11,ACTIVE
254,254,CVG254,Fire,1443424.92,37206.34,2022-09-12,2023-09-12,EXPIRED
255,255,CVG255,Flood,597817.87,13187.67,2022-09-13,2023-09-13,CANCELLED
256,256,CVG256,Theft,2195436.81,43267.8,2022-09-14,2023-09-14,SUSPENDED
257,257,CVG257,Personal Accident,7636174.11,168459.19,2022-09-15,2023-09-15,ACTIVE
258,258,CVG258,Glass Protection,7544897.25,320179.73,2022-09-16,2023-09-16,EXPIRED
259,259,CVG259,Natural Disaster,2597488.16,22561.21,2022-09-17,2023-09-17,CANCELLED
260,260,CVG260,Business Interruption,291894.54,8544.88,2022-09-18,2023-09-18,SUSPENDED
261,261,CVG261,Comprehensive,9999087.5,207463.22,2022-09-19,2023-09-19,ACTIVE
262,262,CVG262,Collision,6536426.52,262473.39,2022-09-20,2023-09-20,EXPIRED
263,263,CVG263,Third Party Liability,6552371.09,255152.57,2022-09-21,2023-09-21,CANCELLED
264,264,CVG264,Fire,9501156.15,132742.84,2022-09-22,2023-09-22,SUSPENDED
265,265,CVG265,Flood,301762.17,3578.06,2022-09-23,2023-09-23,ACTIVE
266,266,CVG266,Theft,1349587.65,47405.14,2022-09-24,2023-09-24,EXPIRED
267,267,CVG267,Personal Accident,5683298.86,84160.59,2022-09-25,2023-09-25,CANCELLED
268,268,CVG268,Glass Protection,7024703.22,277548.94,2022-09-26,2023-09-26,SUSPENDED
269,269,CVG269,Natural Disaster,1761112.52,56929.96,2022-09-27,2023-09-27,ACTIVE
270,270,CVG270,Business Interruption,7504463.95,76200.17,2022-09-28,2023-09-28,EXPIRED
271,271,CVG271,Comprehensive,8211081.63,397518.45,2022-09-29,2023-09-29,CANCELLED
272,272,CVG272,Collision,1170177.62,7203.06,2022-09-30,2023-09-30,SUSPENDED
273,273,CVG273,Third Party Liability,3188376.72,113125.61,2022-10-01,2023-10-01,ACTIVE
274,274,CVG274,Fire,9585911.1,219032.8,2022-10-02,2023-10-02,EXPIRED
275,275,CVG275,Flood,7178645.58,60443.06,2022-10-03,2023-10-03,CANCELLED
276,276,CVG276,Theft,6937082.72,230490.87,2022-10-04,2023-10-04,SUSPENDED
277,277,CVG277,Personal Accident,1108822.92,44088.62,2022-10-05,2023-10-05,ACTIVE
278,278,CVG278,Glass Protection,8517903.07,272730.67,2022-10-06,2023-10-06,EXPIRED
279,279,CVG279,Natural Disaster,1298445.14,63978.28,2022-10-07,2023-10-07,CANCELLED
280,280,CVG280,Business Interruption,7848089.93,161860.34,2022-10-08,2023-10-08,SUSPENDED
281,281,CVG281,Comprehensive,4340942.33,94092.92,2022-10-09,2023-10-09,ACTIVE
282,282,CVG282,Collision,5109011.82,103995.99,2022-10-10,2023-10-10,EXPIRED
283,283,CVG283,Third Party Liability,8510798.71,357495.17,2022-10-11,2023-10-11,CANCELLED
284,284,CVG284,Fire,1144834.82,55221.61,2022-10-12,2023-10-12,SUSPENDED
285,285,CVG285,Flood,6392292.55,270341.74,2022-10-13,2023-10-13,ACTIVE
286,286,CVG286,Theft,7102355.57,174696.08,2022-10-14,2023-10-14,EXPIRED
287,287,CVG287,Personal Accident,7364573.51,356786.47,2022-10-15,2023-10-15,CANCELLED
288,288,CVG288,Glass Protection,2773815.72,114749.89,2022-10-16,2023-10-16,SUSPENDED
289,289,CVG289,Natural Disaster,5427911.77,145236.74,2022-10-17,2023-10-17,ACTIVE
290,290,CVG290,Business Interruption,4412187.48,167205.05,2022-10-18,2023-10-18,EXPIRED
291,291,CVG291,Comprehensive,2757115.83,119457.81,2022-10-19,2023-10-19,CANCELLED
292,292,CVG292,Collision,8324237.09,74084.3,2022-10-20,2023-10-20,SUSPENDED
293,293,CVG293,Third Party Liability,8828148.72,141019.57,2022-10-21,2023-10-21,ACTIVE
294,294,CVG294,Fire,4700613.82,152605.08,2022-10-22,2023-10-22,EXPIRED
