job_id,policy_id,job_type,job_date,created_ts,job_number,job_status,submission_date,effective_date,expiration_date
35,35,Reinstatement,2022-02-05,2022-02-05 09:00:00,JOB000035,COMPLETED,2022-01-31,2022-02-11,2023-02-11
36,36,New Business,2022-02-06,2022-02-06 09:00:00,JOB000036,CANCELLED,2022-01-27,2022-02-14,2023-02-14
37,37,Renewal,2022-02-07,2022-02-07 09:00:00,JOB000037,PENDING,2022-01-28,2022-02-09,2023-02-09
38,38,Endorsement,2022-02-08,2022-02-08 09:00:00,JOB000038,IN_PROGRESS,2022-01-30,2022-02-13,2023-02-13
39,39,Cancellation,2022-02-09,2022-02-09 09:00:00,JOB000039,COMPLETED,2022-02-01,2022-02-16,2023-02-16
40,40,Reinstatement,2022-02-10,2022-02-10 09:00:00,JOB000040,CANCELLED,2022-02-08,2022-02-24,2023-02-24
41,41,New Business,2022-02-11,2022-02-11 09:00:00,JOB000041,PENDING,2022-02-05,2022-02-19,2023-02-19
42,42,Renewal,2022-02-12,2022-02-12 09:00:00,JOB000042,IN_PROGRESS,2022-02-02,2022-02-19,2023-02-19
43,43,Endorsement,2022-02-13,2022-02-13 09:00:00,JOB000043,COMPLETED,2022-02-03,2022-02-23,2023-02-23
44,44,Cancellation,2022-02-14,2022-02-14 09:00:00,JOB000044,CANCELLED,2022-02-14,2022-02-21,2023-02-21
45,45,Reinstatement,2022-02-15,2022-02-15 09:00:00,JOB000045,PENDING,2022-02-15,2022-02-25,2023-02-25
46,46,New Business,2022-02-16,2022-02-16 09:00:00,JOB000046,IN_PROGRESS,2022-02-10,2022-02-24,2023-02-24
47,47,Renewal,2022-02-17,2022-02-17 09:00:00,JOB000047,COMPLETED,2022-02-16,2022-02-23,2023-02-23
48,48,Endorsement,2022-02-18,2022-02-18 09:00:00,JOB000048,CANCELLED,2022-02-09,2022-02-28,2023-02-28
49,49,Cancellation,2022-02-19,2022-02-19 09:00:00,JOB000049,PENDING,2022-02-16,2022-03-06,2023-03-06
50,50,Reinstatement,2022-02-20,2022-02-20 09:00:00,JOB000050,IN_PROGRESS,2022-02-14,2022-03-06,2023-03-06
51,51,New Business,2022-02-21,2022-02-21 09:00:00,JOB000051,COMPLETED,2022-02-19,2022-03-01,2023-03-01
52,52,Renewal,2022-02-22,2022-02-22 09:00:00,JOB000052,CANCELLED,2022-02-20,2022-03-01,2023-03-01
53,53,Endorsement,2022-02-23,2022-02-23 09:00:00,JOB000053,PENDING,2022-02-15,2022-03-03,2023-03-03
54,54,Cancellation,2022-02-24,2022-02-24 09:00:00,JOB000054,IN_PROGRESS,2022-02-15,2022-03-09,2023-03-09
55,55,Reinstatement,2022-02-25,2022-02-25 09:00:00,JOB000055,COMPLETED,2022-02-16,2022-03-09,2023-03-09
56,56,New Business,2022-02-26,2022-02-26 09:00:00,JOB000056,CANCELLED,2022-02-21,2022-03-05,2023-03-05
57,57,Renewal,2022-02-27,2022-02-27 09:00:00,JOB000057,PENDING,2022-02-25,2022-03-14,2023-03-14
58,58,Endorsement,2022-02-28,2022-02-28 09:00:00,JOB000058,IN_PROGRESS,2022-02-27,2022-03-01,2023-03-01
59,59,Cancellation,2022-03-01,2022-03-01 09:00:00,JOB000059,COMPLETED,2022-02-28,2022-03-05,2023-03-05
60,60,Reinstatement,2022-03-02,2022-03-02 09:00:00,JOB000060,CANCELLED,2022-02-20,2022-03-07,2023-03-07
61,61,New Business,2022-03-03,2022-03-03 09:00:00,JOB000061,PENDING,2022-02-21,2022-03-16,2023-03-16
62,62,Renewal,2022-03-04,2022-03-04 09:00:00,JOB000062,IN_PROGRESS,2022-02-23,2022-03-06,2023-03-06
63,63,Endorsement,2022-03-05,2022-03-05 09:00:00,JOB000063,COMPLETED,2022-02-27,2022-03-17,2023-03-17
64,64,Cancellation,2022-03-06,2022-03-06 09:00:00,JOB000064,CANCELLED,2022-02-25,2022-03-20,2023-03-20
65,65,Reinstatement,2022-03-07,2022-03-07 09:00:00,JOB000065,PENDING,2022-02-27,2022-03-15,2023-03-15
66,66,New Business,2022-03-08,2022-03-08 09:00:00,JOB000066,IN_PROGRESS,2022-02-28,2022-03-08,2023-03-08
67,67,Renewal,2022-03-09,2022-03-09 09:00:00,JOB000067,COMPLETED,2022-02-27,2022-03-12,2023-03-12
68,68,Endorsement,2022-03-10,2022-03-10 09:00:00,JOB000068,CANCELLED,2022-02-28,2022-03-18,2023-03-18
69,69,Cancellation,2022-03-11,2022-03-11 09:00:00,JOB000069,PENDING,2022-03-01,2022-03-21,2023-03-21
70,70,Reinstatement,2022-03-12,2022-03-12 09:00:00,JOB000070,IN_PROGRESS,2022-03-11,2022-03-21,2023-03-21
71,71,New Business,2022-03-13,2022-03-13 09:00:00,JOB000071,COMPLETED,2022-03-07,2022-03-18,2023-03-18
72,72,Renewal,2022-03-14,2022-03-14 09:00:00,JOB000072,CANCELLED,2022-03-07,2022-03-14,2023-03-14
73,73,Endorsement,2022-03-15,2022-03-15 09:00:00,JOB000073,PENDING,2022-03-11,2022-03-20,2023-03-20
74,74,Cancellation,2022-03-16,2022-03-16 09:00:00,JOB000074,IN_PROGRESS,2022-03-08,2022-03-19,2023-03-19
75,75,Reinstatement,2022-03-17,2022-03-17 09:00:00,JOB000075,COMPLETED,2022-03-07,2022-03-26,2023-03-26
76,76,New Business,2022-03-18,2022-03-18 09:00:00,JOB000076,CANCELLED,2022-03-08,2022-03-24,2023-03-24
77,77,Renewal,2022-03-19,2022-03-19 09:00:00,JOB000077,PENDING,2022-03-17,2022-03-30,2023-03-30
78,78,Endorsement,2022-03-20,2022-03-20 09:00:00,JOB000078,IN_PROGRESS,2022-03-18,2022-03-20,2023-03-20
79,79,Cancellation,2022-03-21,2022-03-21 09:00:00,JOB000079,COMPLETED,2022-03-12,2022-03-31,2023-03-31
80,80,Reinstatement,2022-03-22,2022-03-22 09:00:00,JOB000080,CANCELLED,2022-03-15,2022-03-22,2023-03-22
81,81,New Business,2022-03-23,2022-03-23 09:00:00,JOB000081,PENDING,2022-03-22,2022-04-03,2023-04-03
82,82,Renewal,2022-03-24,2022-03-24 09:00:00,JOB000082,IN_PROGRESS,2022-03-20,2022-03-31,2023-03-31
83,83,Endorsement,2022-03-25,2022-03-25 09:00:00,JOB000083,COMPLETED,2022-03-25,2022-04-01,2023-04-01
84,84,Cancellation,2022-03-26,2022-03-26 09:00:00,JOB000084,CANCELLED,2022-03-17,2022-03-28,2023-03-28
85,85,Reinstatement,2022-03-27,2022-03-27 09:00:00,JOB000085,PENDING,2022-03-26,2022-04-11,2023-04-11
86,86,New Business,2022-03-28,2022-03-28 09:00:00,JOB000086,IN_PROGRESS,2022-03-27,2022-04-01,2023-04-01
87,87,Renewal,2022-03-29,2022-03-29 09:00:00,JOB000087,COMPLETED,2022-03-27,2022-04-13,2023-04-13
88,88,Endorsement,2022-03-30,2022-03-30 09:00:00,JOB000088,CANCELLED,2022-03-22,2022-04-04,2023-04-04
89,89,Cancellation,2022-03-31,2022-03-31 09:00:00,JOB000089,PENDING,2022-03-27,2022-04-13,2023-04-13
90,90,Reinstatement,2022-04-01,2022-04-01 09:00:00,JOB000090,IN_PROGRESS,2022-03-29,2022-04-07,2023-04-07
91,91,New Business,2022-04-02,2022-04-02 09:00:00,JOB000091,COMPLETED,2022-03-29,2022-04-14,2023-04-14
92,92,Renewal,2022-04-03,2022-04-03 09:00:00,JOB000092,CANCELLED,2022-03-24,2022-04-14,2023-04-14
93,93,Endorsement,2022-04-04,2022-04-04 09:00:00,JOB000093,PENDING,2022-03-28,2022-04-18,2023-04-18
94,94,Cancellation,2022-04-05,2022-04-05 09:00:00,JOB000094,IN_PROGRESS,2022-04-04,2022-04-12,2023-04-12
95,95,Reinstatement,2022-04-06,2022-04-06 09:00:00,JOB000095,COMPLETED,2022-04-03,2022-04-08,2023-04-08
96,96,New Business,2022-04-07,2022-04-07 09:00:00,JOB000096,CANCELLED,2022-04-02,2022-04-07,2023-04-07
97,97,Renewal,2022-04-08,2022-04-08 09:00:00,JOB000097,PENDING,2022-03-30,2022-04-15,2023-04-15
98,98,Endorsement,2022-04-09,2022-04-09 09:00:00,JOB000098,IN_PROGRESS,2022-03-31,2022-04-16,2023-04-16
99,99,Cancellation,2022-04-10,2022-04-10 09:00:00,JOB000099,COMPLETED,2022-04-10,2022-04-12,2023-04-12
100,100,Reinstatement,2022-04-11,2022-04-11 09:00:00,JOB000100,CANCELLED,2022-04-01,2022-04-12,2023-04-12
101,101,New Business,2022-04-12,2022-04-12 09:00:00,JOB000101,PENDING,2022-04-09,2022-04-14,2023-04-14
102,102,Renewal,2022-04-13,2022-04-13 09:00:00,JOB000102,IN_PROGRESS,2022-04-13,2022-04-23,2023-04-23
103,103,Endorsement,2022-04-14,2022-04-14 09:00:00,JOB000103,COMPLETED,2022-04-13,2022-04-21,2023-04-21
104,104,Cancellation,2022-04-15,2022-04-15 09:00:00,JOB000104,CANCELLED,2022-04-11,2022-04-30,2023-04-30
105,105,Reinstatement,2022-04-16,2022-04-16 09:00:00,JOB000105,PENDING,2022-04-13,2022-04-20,2023-04-20
106,106,New Business,2022-04-17,2022-04-17 09:00:00,JOB000106,IN_PROGRESS,2022-04-08,2022-05-02,2023-05-02
107,107,Renewal,2022-04-18,2022-04-18 09:00:00,JOB000107,COMPLETED,2022-04-15,2022-05-03,2023-05-03
108,108,Endorsement,2022-04-19,2022-04-19 09:00:00,JOB000108,CANCELLED,2022-04-13,2022-04-25,2023-04-25
109,109,Cancellation,2022-04-20,2022-04-20 09:00:00,JOB000109,PENDING,2022-04-19,2022-04-23,2023-04-23
110,110,Reinstatement,2022-04-21,2022-04-21 09:00:00,JOB000110,IN_PROGRESS,2022-04-11,2022-05-04,2023-05-04
111,111,New Business,2022-04-22,2022-04-22 09:00:00,JOB000111,COMPLETED,2022-04-17,2022-05-05,2023-05-05
112,112,Renewal,2022-04-23,2022-04-23 09:00:00,JOB000112,CANCELLED,2022-04-17,2022-05-07,2023-05-07
113,113,Endorsement,2022-04-24,2022-04-24 09:00:00,JOB000113,PENDING,2022-04-24,2022-04-27,2023-04-27
114,114,Cancellation,2022-04-25,2022-04-25 09:00:00,JOB000114,IN_PROGRESS,2022-04-25,2022-05-07,2023-05-07
115,115,Reinstatement,2022-04-26,2022-04-26 09:00:00,JOB000115,COMPLETED,2022-04-21,2022-04-29,2023-04-29
116,116,New Business,2022-04-27,2022-04-27 09:00:00,JOB000116,CANCELLED,2022-04-24,2022-05-03,2023-05-03
117,117,Renewal,2022-04-28,2022-04-28 09:00:00,JOB000117,PENDING,2022-04-25,2022-05-12,2023-05-12
118,118,Endorsement,2022-04-29,2022-04-29 09:00:00,JOB000118,IN_PROGRESS,2022-04-27,2022-05-12,2023-05-12
119,119,Cancellation,2022-04-30,2022-04-30 09:00:00,JOB000119,COMPLETED,2022-04-28,2022-05-08,2023-05-08
120,120,Reinstatement,2022-05-01,2022-05-01 09:00:00,JOB000120,CANCELLED,2022-04-24,2022-05-08,2023-05-08
121,121,New Business,2022-05-02,2022-05-02 09:00:00,JOB000121,PENDING,2022-05-01,2022-05-16,2023-05-16
122,122,Renewal,2022-05-03,2022-05-03 09:00:00,JOB000122,IN_PROGRESS,2022-04-25,2022-05-06,2023-05-06
123,123,Endorsement,2022-05-04,2022-05-04 09:00:00,JOB000123,COMPLETED,2022-05-04,2022-05-04,2023-05-04
124,124,Cancellation,2022-05-05,2022-05-05 09:00:00,JOB000124,CANCELLED,2022-05-04,2022-05-12,2023-05-12
125,125,Reinstatement,2022-05-06,2022-05-06 09:00:00,JOB000125,PENDING,2022-05-04,2022-05-19,2023-05-19
126,126,New Business,2022-05-07,2022-05-07 09:00:00,JOB000126,IN_PROGRESS,2022-04-30,2022-05-22,2023-05-22
127,127,Renewal,2022-05-08,2022-05-08 09:00:00,JOB000127,COMPLETED,2022-05-05,2022-05-20,2023-05-20
128,128,Endorsement,2022-05-09,2022-05-09 09:00:00,JOB000128,CANCELLED,2022-05-09,2022-05-14,2023-05-14
129,129,Cancellation,2022-05-10,2022-05-10 09:00:00,JOB000129,PENDING,2022-05-04,2022-05-10,2023-05-10
130,130,Reinstatement,2022-05-11,2022-05-11 09:00:00,JOB000130,IN_PROGRESS,2022-05-05,2022-05-19,2023-05-19
131,131,New Business,2022-05-12,2022-05-12 09:00:00,JOB000131,COMPLETED,2022-05-05,2022-05-21,2023-05-21
132,132,Renewal,2022-05-13,2022-05-13 09:00:00,JOB000132,CANCELLED,2022-05-07,2022-05-28,2023-05-28
133,133,Endorsement,2022-05-14,2022-05-14 09:00:00,JOB000133,PENDING,2022-05-12,2022-05-20,2023-05-20
134,134,Cancellation,2022-05-15,2022-05-15 09:00:00,JOB000134,IN_PROGRESS,2022-05-11,2022-05-21,2023-05-21
135,135,Reinstatement,2022-05-16,2022-05-16 09:00:00,JOB000135,COMPLETED,2022-05-16,2022-05-17,2023-05-17
136,136,New Business,2022-05-17,2022-05-17 09:00:00,JOB000136,CANCELLED,2022-05-12,2022-05-18,2023-05-18
137,137,Renewal,2022-05-18,2022-05-18 09:00:00,JOB000137,PENDING,2022-05-18,2022-06-02,2023-06-02
138,138,Endorsement,2022-05-19,2022-05-19 09:00:00,JOB000138,IN_PROGRESS,2022-05-11,2022-05-24,2023-05-24
139,139,Cancellation,2022-05-20,2022-05-20 09:00:00,JOB000139,COMPLETED,2022-05-20,2022-05-22,2023-05-22
140,140,Reinstatement,2022-05-21,2022-05-21 09:00:00,JOB000140,CANCELLED,2022-05-19,2022-05-23,2023-05-23
141,141,New Business,2022-05-22,2022-05-22 09:00:00,JOB000141,PENDING,2022-05-13,2022-05-24,2023-05-24
142,142,Renewal,2022-05-23,2022-05-23 09:00:00,JOB000142,IN_PROGRESS,2022-05-13,2022-05-30,2023-05-30
143,143,Endorsement,2022-05-24,2022-05-24 09:00:00,JOB000143,COMPLETED,2022-05-18,2022-05-27,2023-05-27
144,144,Cancellation,2022-05-25,2022-05-25 09:00:00,JOB000144,CANCELLED,2022-05-16,2022-06-01,2023-06-01
145,145,Reinstatement,2022-05-26,2022-05-26 09:00:00,JOB000145,PENDING,2022-05-17,2022-05-27,2023-05-27
146,146,New Business,2022-05-27,2022-05-27 09:00:00,JOB000146,IN_PROGRESS,2022-05-18,2022-05-29,2023-05-29
147,147,Renewal,2022-05-28,2022-05-28 09:00:00,JOB000147,COMPLETED,2022-05-22,2022-06-07,2023-06-07
148,148,Endorsement,2022-05-29,2022-05-29 09:00:00,JOB000148,CANCELLED,2022-05-25,2022-06-04,2023-06-04
149,149,Cancellation,2022-05-30,2022-05-30 09:00:00,JOB000149,PENDING,2022-05-20,2022-06-09,2023-06-09
150,150,Reinstatement,2022-05-31,2022-05-31 09:00:00,JOB000150,IN_PROGRESS,2022-05-28,2022-06-08,2023-06-08
151,151,New Business,2022-06-01,2022-06-01 09:00:00,JOB000151,COMPLETED,2022-05-26,2022-06-05,2023-06-05
152,152,Renewal,2022-06-02,2022-06-02 09:00:00,JOB000152,CANCELLED,2022-05-23,2022-06-11,2023-06-11
153,153,Endorsement,2022-06-03,2022-06-03 09:00:00,JOB000153,PENDING,2022-05-27,2022-06-13,2023-06-13
154,154,Cancellation,2022-06-04,2022-06-04 09:00:00,JOB000154,IN_PROGRESS,2022-06-03,2022-06-04,2023-06-04
155,155,Reinstatement,2022-06-05,2022-06-05 09:00:00,JOB000155,COMPLETED,2022-05-29,2022-06-08,2023-06-08
156,156,New Business,2022-06-06,2022-06-06 09:00:00,JOB000156,CANCELLED,2022-06-05,2022-06-12,2023-06-12
157,157,Renewal,2022-06-07,2022-06-07 09:00:00,JOB000157,PENDING,2022-05-30,2022-06-15,2023-06-15
158,158,Endorsement,2022-06-08,2022-06-08 09:00:00,JOB000158,IN_PROGRESS,2022-06-06,2022-06-19,2023-06-19
159,159,Cancellation,2022-06-09,2022-06-09 09:00:00,JOB000159,COMPLETED,2022-06-08,2022-06-16,2023-06-16
160,160,Reinstatement,2022-06-10,2022-06-10 09:00:00,JOB000160,CANCELLED,2022-06-05,2022-06-19,2023-06-19
161,161,New Business,2022-06-11,2022-06-11 09:00:00,JOB000161,PENDING,2022-06-09,2022-06-25,2023-06-25
162,162,Renewal,2022-06-12,2022-06-12 09:00:00,JOB000162,IN_PROGRESS,2022-06-04,2022-06-21,2023-06-21
163,163,Endorsement,2022-06-13,2022-06-13 09:00:00,JOB000163,COMPLETED,2022-06-04,2022-06-13,2023-06-13
164,164,Cancellation,2022-06-14,2022-06-14 09:00:00,JOB000164,CANCELLED,2022-06-04,2022-06-23,2023-06-23
165,165,Reinstatement,2022-06-15,2022-06-15 09:00:00,JOB000165,PENDING,2022-06-05,2022-06-18,2023-06-18
166,166,New Business,2022-06-16,2022-06-16 09:00:00,JOB000166,IN_PROGRESS,2022-06-14,2022-06-24,2023-06-24
167,167,Renewal,2022-06-17,2022-06-17 09:00:00,JOB000167,COMPLETED,2022-06-16,2022-06-20,2023-06-20
168,168,Endorsement,2022-06-18,2022-06-18 09:00:00,JOB000168,CANCELLED,2022-06-10,2022-06-22,2023-06-22
169,169,Cancellation,2022-06-19,2022-06-19 09:00:00,JOB000169,PENDING,2022-06-15,2022-06-28,2023-06-28
170,170,Reinstatement,2022-06-20,2022-06-20 09:00:00,JOB000170,IN_PROGRESS,2022-06-11,2022-06-26,2023-06-26
171,171,New Business,2022-06-21,2022-06-21 09:00:00,JOB000171,COMPLETED,2022-06-16,2022-06-27,2023-06-27
172,172,Renewal,2022-06-22,2022-06-22 09:00:00,JOB000172,CANCELLED,2022-06-12,2022-06-30,2023-06-30
173,173,Endorsement,2022-06-23,2022-06-23 09:00:00,JOB000173,PENDING,2022-06-15,2022-07-08,2023-07-08
174,174,Cancellation,2022-06-24,2022-06-24 09:00:00,JOB000174,IN_PROGRESS,2022-06-20,2022-06-25,2023-06-25
175,175,Reinstatement,2022-06-25,2022-06-25 09:00:00,JOB000175,COMPLETED,2022-06-24,2022-07-08,2023-07-08
176,176,New Business,2022-06-26,2022-06-26 09:00:00,JOB000176,CANCELLED,2022-06-22,2022-06-27,2023-06-27
177,177,Renewal,2022-06-27,2022-06-27 09:00:00,JOB000177,PENDING,2022-06-27,2022-07-07,2023-07-07
178,178,Endorsement,2022-06-28,2022-06-28 09:00:00,JOB000178,IN_PROGRESS,2022-06-26,2022-07-06,2023-07-06
179,179,Cancellation,2022-06-29,2022-06-29 09:00:00,JOB000179,COMPLETED,2022-06-27,2022-07-13,2023-07-13
180,180,Reinstatement,2022-06-30,2022-06-30 09:00:00,JOB000180,CANCELLED,2022-06-22,2022-07-13,2023-07-13
181,181,New Business,2022-07-01,2022-07-01 09:00:00,JOB000181,PENDING,2022-06-23,2022-07-01,2023-07-01
182,182,Renewal,2022-07-02,2022-07-02 09:00:00,JOB000182,IN_PROGRESS,2022-07-01,2022-07-04,2023-07-04
183,183,Endorsement,2022-07-03,2022-07-03 09:00:00,JOB000183,COMPLETED,2022-07-01,2022-07-04,2023-07-04
184,184,Cancellation,2022-07-04,2022-07-04 09:00:00,JOB000184,CANCELLED,2022-06-29,2022-07-08,2023-07-08
185,185,Reinstatement,2022-07-05,2022-07-05 09:00:00,JOB000185,PENDING,2022-06-29,2022-07-09,2023-07-09
186,186,New Business,2022-07-06,2022-07-06 09:00:00,JOB000186,IN_PROGRESS,2022-07-06,2022-07-15,2023-07-15
187,187,Renewal,2022-07-07,2022-07-07 09:00:00,JOB000187,COMPLETED,2022-07-02,2022-07-08,2023-07-08
188,188,Endorsement,2022-07-08,2022-07-08 09:00:00,JOB000188,CANCELLED,2022-07-03,2022-07-14,2023-07-14
189,189,Cancellation,2022-07-09,2022-07-09 09:00:00,JOB000189,PENDING,2022-06-29,2022-07-16,2023-07-16
190,190,Reinstatement,2022-07-10,2022-07-10 09:00:00,JOB000190,IN_PROGRESS,2022-06-30,2022-07-13,2023-07-13
191,191,New Business,2022-07-11,2022-07-11 09:00:00,JOB000191,COMPLETED,2022-07-06,2022-07-24,2023-07-24
192,192,Renewal,2022-07-12,2022-07-12 09:00:00,JOB000192,CANCELLED,2022-07-03,2022-07-16,2023-07-16
193,193,Endorsement,2022-07-13,2022-07-13 09:00:00,JOB000193,PENDING,2022-07-10,2022-07-18,2023-07-18
194,194,Cancellation,2022-07-14,2022-07-14 09:00:00,JOB000194,IN_PROGRESS,2022-07-12,2022-07-27,2023-07-27
195,195,Reinstatement,2022-07-15,2022-07-15 09:00:00,JOB000195,COMPLETED,2022-07-15,2022-07-20,2023-07-20
196,196,New Business,2022-07-16,2022-07-16 09:00:00,JOB000196,CANCELLED,2022-07-11,2022-07-29,2023-07-29
197,197,Renewal,2022-07-17,2022-07-17 09:00:00,JOB000197,PENDING,2022-07-07,2022-07-24,2023-07-24
198,198,Endorsement,2022-07-18,2022-07-18 09:00:00,JOB000198,IN_PROGRESS,2022-07-14,2022-07-23,2023-07-23
199,199,Cancellation,2022-07-19,2022-07-19 09:00:00,JOB000199,COMPLETED,2022-07-18,2022-07-31,2023-07-31
200,200,Reinstatement,2022-07-20,2022-07-20 09:00:00,JOB000200,CANCELLED,2022-07-20,2022-08-04,2023-08-04
201,201,New Business,2022-07-21,2022-07-21 09:00:00,JOB000201,PENDING,2022-07-18,2022-07-27,2023-07-27
202,202,Renewal,2022-07-22,2022-07-22 09:00:00,JOB000202,IN_PROGRESS,2022-07-15,2022-08-02,2023-08-02
203,203,Endorsement,2022-07-23,2022-07-23 09:00:00,JOB000203,COMPLETED,2022-07-19,2022-07-30,2023-07-30
204,204,Cancellation,2022-07-24,2022-07-24 09:00:00,JOB000204,CANCELLED,2022-07-21,2022-07-24,2023-07-24
205,205,Reinstatement,2022-07-25,2022-07-25 09:00:00,JOB000205,PENDING,2022-07-15,2022-07-31,2023-07-31
206,206,New Business,2022-07-26,2022-07-26 09:00:00,JOB000206,IN_PROGRESS,2022-07-20,2022-08-05,2023-08-05
207,207,Renewal,2022-07-27,2022-07-27 09:00:00,JOB000207,COMPLETED,2022-07-23,2022-07-29,2023-07-29
208,208,Endorsement,2022-07-28,2022-07-28 09:00:00,JOB000208,CANCELLED,2022-07-24,2022-08-08,2023-08-08
209,209,Cancellation,2022-07-29,2022-07-29 09:00:00,JOB000209,PENDING,2022-07-19,2022-08-10,2023-08-10
210,210,Reinstatement,2022-07-30,2022-07-30 09:00:00,JOB000210,IN_PROGRESS,2022-07-20,2022-08-09,2023-08-09
211,211,New Business,2022-07-31,2022-07-31 09:00:00,JOB000211,COMPLETED,2022-07-31,2022-08-03,2023-08-03
212,212,Renewal,2022-08-01,2022-08-01 09:00:00,JOB000212,CANCELLED,2022-07-28,2022-08-06,2023-08-06
213,213,Endorsement,2022-08-02,2022-08-02 09:00:00,JOB000213,PENDING,2022-07-24,2022-08-10,2023-08-10
214,214,Cancellation,2022-08-03,2022-08-03 09:00:00,JOB000214,IN_PROGRESS,2022-08-03,2022-08-06,2023-08-06
215,215,Reinstatement,2022-08-04,2022-08-04 09:00:00,JOB000215,COMPLETED,2022-07-26,2022-08-17,2023-08-17
216,216,New Business,2022-08-05,2022-08-05 09:00:00,JOB000216,CANCELLED,2022-07-31,2022-08-15,2023-08-15
217,217,Renewal,2022-08-06,2022-08-06 09:00:00,JOB000217,PENDING,2022-07-31,2022-08-09,2023-08-09
