premium_id,policy_period_id,written_premium,earned_premium,unearned_premium,transaction_date,currency_code,commission_rate,commission_amount,operating_expense,as_of_date
30,30,39720.58,21150.39,18570.19,2022-01-31,USD,13.51,5366.25,1410.6,2022-02-23
31,31,75468.62,33060.3,42408.32,2022-02-01,INR,16.41,12384.4,6309.81,2022-02-05
32,32,100663.87,92687.95,7975.92,2022-02-02,USD,7.48,7529.66,6738.15,2022-02-21
33,33,66355.0,34271.63,32083.37,2022-02-03,INR,13.09,8685.87,5381.07,2022-02-09
34,34,108377.6,67134.05,41243.55,2022-02-04,USD,15.08,16343.34,6084.26,2022-03-04
35,35,80048.5,37346.81,42701.69,2022-02-05,INR,8.37,6700.06,4295.88,2022-02-23
36,36,85318.62,61740.14,23578.48,2022-02-06,USD,5.11,4359.78,6787.0,2022-02-07
37,37,38196.56,34299.79,3896.77,2022-02-07,INR,17.89,6833.36,1335.35,2022-02-14
38,38,45379.2,30266.93,15112.27,2022-02-08,USD,13.09,5940.14,3659.14,2022-03-08
39,39,87801.25,57946.11,29855.14,2022-02-09,INR,16.77,14724.27,7596.98,2022-02-15
40,40,18677.24,14240.28,4436.96,2022-02-10,USD,10.31,1925.62,1097.8,2022-03-09
41,41,110716.0,85290.13,25425.87,2022-02-11,INR,19.76,21877.48,4084.23,2022-02-23
42,42,110590.97,92932.45,17658.52,2022-02-12,USD,6.64,7343.24,4800.9,2022-03-01
43,43,70048.96,44273.39,25775.57,2022-02-13,INR,9.18,6430.49,3326.38,2022-03-14
44,44,15930.81,13452.17,2478.64,2022-02-14,USD,17.84,2842.06,587.11,2022-03-06
45,45,149895.96,128882.82,21013.14,2022-02-15,INR,19.53,29274.68,14216.99,2022-03-14
46,46,39275.03,24489.07,14785.96,2022-02-16,USD,12.22,4799.41,3555.39,2022-03-16
47,47,13502.13,8215.17,5286.96,2022-02-17,INR,19.78,2670.72,655.72,2022-03-14
48,48,118843.76,66182.55,52661.21,2022-02-18,USD,15.45,18361.36,9642.43,2022-03-15
49,49,85586.41,68051.86,17534.55,2022-02-19,INR,7.32,6264.93,4345.18,2022-03-21
50,50,13480.08,10846.82,2633.26,2022-02-20,USD,5.91,796.67,700.32,2022-02-21
51,51,89705.75,60692.01,29013.74,2022-02-21,INR,17.79,15958.65,3679.76,2022-03-23
52,52,78635.13,68274.04,10361.09,2022-02-22,USD,6.03,4741.7,2733.14,2022-03-21
53,53,39104.56,18220.29,20884.27,2022-02-23,INR,18.35,7175.69,1847.11,2022-03-14
54,54,10762.54,4790.31,5972.23,2022-02-24,USD,14.86,1599.31,748.71,2022-03-06
55,55,140532.41,72000.73,68531.68,2022-02-25,INR,15.74,22119.8,6563.99,2022-03-09
56,56,23977.35,18103.51,5873.84,2022-02-26,USD,11.86,2843.71,2278.6,2022-03-27
57,57,15518.75,10119.11,5399.64,2022-02-27,INR,19.98,3100.65,1547.63,2022-03-01
58,58,82956.99,56264.47,26692.52,2022-02-28,USD,6.99,5798.69,4515.4,2022-03-02
59,59,132494.19,79925.78,52568.41,2022-03-01,INR,7.37,9764.82,11707.47,2022-03-23
60,60,48864.99,45987.79,2877.2,2022-03-02,USD,17.11,8360.8,3275.22,2022-03-23
61,61,123480.1,69724.07,53756.03,2022-03-03,INR,14.95,18460.27,11820.14,2022-03-07
62,62,43347.56,38550.81,4796.75,2022-03-04,USD,16.14,6996.3,1772.11,2022-03-13
63,63,92700.32,73667.71,19032.61,2022-03-05,INR,8.05,7462.38,6896.59,2022-03-13
64,64,78284.31,42126.09,36158.22,2022-03-06,USD,18.62,14576.54,2626.9,2022-03-26
65,65,66418.49,36674.57,29743.92,2022-03-07,INR,5.05,3354.13,5577.71,2022-03-27
66,66,147070.7,71898.47,75172.23,2022-03-08,USD,11.63,17104.32,11676.93,2022-03-25
67,67,6402.11,2825.79,3576.32,2022-03-09,INR,18.25,1168.39,597.16,2022-03-26
68,68,10224.08,6165.82,4058.26,2022-03-10,USD,13.29,1358.78,614.31,2022-03-11
69,69,49697.46,44451.39,5246.07,2022-03-11,INR,16.94,8418.75,4485.16,2022-04-08
70,70,56882.34,44091.59,12790.75,2022-03-12,USD,15.0,8532.35,3114.73,2022-03-29
71,71,133199.53,83050.91,50148.62,2022-03-13,INR,14.31,19060.85,5437.04,2022-04-11
72,72,39326.91,19245.64,20081.27,2022-03-14,USD,17.0,6685.57,1667.21,2022-03-27
73,73,8594.02,6919.14,1674.88,2022-03-15,INR,9.98,857.68,817.78,2022-04-09
74,74,102136.53,82146.54,19989.99,2022-03-16,USD,8.72,8906.31,4202.29,2022-04-07
75,75,20673.87,18186.63,2487.24,2022-03-17,INR,17.88,3696.49,942.12,2022-04-12
76,76,138175.53,81843.04,56332.49,2022-03-18,USD,17.31,23918.18,12572.95,2022-03-25
77,77,8431.34,4268.12,4163.22,2022-03-19,INR,9.92,836.39,763.08,2022-04-18
78,78,117132.36,69474.76,47657.6,2022-03-20,USD,12.64,14805.53,9085.52,2022-04-15
79,79,82751.28,75848.2,6903.08,2022-03-21,INR,6.73,5569.16,8103.67,2022-03-26
80,80,89185.51,83919.36,5266.15,2022-03-22,USD,5.57,4967.63,6399.95,2022-04-02
81,81,110639.03,63343.34,47295.69,2022-03-23,INR,14.09,15589.04,7280.01,2022-04-04
82,82,135428.19,68329.39,67098.8,2022-03-24,USD,5.67,7678.78,8196.66,2022-04-09
83,83,139208.4,96909.73,42298.67,2022-03-25,INR,15.79,21981.01,11406.25,2022-04-15
84,84,33570.09,21391.32,12178.77,2022-03-26,USD,19.23,6455.53,3170.83,2022-04-14
85,85,50517.77,43769.02,6748.75,2022-03-27,INR,15.8,7981.81,2577.55,2022-04-05
86,86,101699.47,58924.73,42774.74,2022-03-28,USD,15.46,15722.74,6997.83,2022-04-03
87,87,65964.72,60502.84,5461.88,2022-03-29,INR,15.16,10000.25,6147.67,2022-04-17
88,88,87520.26,54555.0,32965.26,2022-03-30,USD,17.51,15324.8,4487.27,2022-04-05
89,89,67333.78,48412.42,18921.36,2022-03-31,INR,14.82,9978.87,4211.67,2022-04-14
90,90,102965.95,70134.81,32831.14,2022-04-01,USD,16.91,17411.54,10007.08,2022-04-24
91,91,29605.25,13222.82,16382.43,2022-04-02,INR,12.73,3768.75,2199.84,2022-04-12
92,92,18541.14,17124.59,1416.55,2022-04-03,USD,8.52,1579.71,959.12,2022-04-28
93,93,33873.84,14004.6,19869.24,2022-04-04,INR,8.67,2936.86,2142.84,2022-05-01
94,94,116430.95,75735.88,40695.07,2022-04-05,USD,18.29,21295.22,8184.74,2022-04-27
95,95,105971.37,71202.95,34768.42,2022-04-06,INR,8.66,9177.12,8045.78,2022-04-06
96,96,134435.67,117394.92,17040.75,2022-04-07,USD,18.28,24574.84,11358.39,2022-04-14
97,97,30503.57,28273.19,2230.38,2022-04-08,INR,12.77,3895.31,1022.34,2022-04-15
98,98,138033.15,64426.59,73606.56,2022-04-09,USD,7.0,9662.32,8630.53,2022-04-25
99,99,148244.41,107847.63,40396.78,2022-04-10,INR,19.25,28537.05,13697.76,2022-04-29
100,100,123175.94,109701.87,13474.07,2022-04-11,USD,11.4,14042.06,11514.47,2022-04-25
101,101,135095.17,109293.41,25801.76,2022-04-12,INR,12.12,16373.53,6503.94,2022-04-19
102,102,126780.12,70048.71,56731.41,2022-04-13,USD,16.67,21134.25,8104.01,2022-04-20
103,103,44816.63,19836.55,24980.08,2022-04-14,INR,9.29,4163.46,2196.91,2022-04-24
104,104,134488.89,59755.8,74733.09,2022-04-15,USD,7.26,9763.89,7640.65,2022-04-19
105,105,107430.78,46767.4,60663.38,2022-04-16,INR,11.11,11935.56,7303.44,2022-04-29
106,106,14028.53,12037.74,1990.79,2022-04-17,USD,10.84,1520.69,1176.79,2022-05-17
107,107,105850.83,92217.52,13633.31,2022-04-18,INR,16.48,17444.22,5993.98,2022-04-18
108,108,141697.54,79950.99,61746.55,2022-04-19,USD,10.85,15374.18,13094.97,2022-05-15
109,109,65758.09,53338.6,12419.49,2022-04-20,INR,13.19,8673.49,4749.55,2022-04-27
110,110,75793.27,41694.97,34098.3,2022-04-21,USD,12.28,9307.41,4336.89,2022-05-12
111,111,103475.57,64400.52,39075.05,2022-04-22,INR,7.48,7739.97,6489.71,2022-04-26
112,112,147204.69,102125.9,45078.79,2022-04-23,USD,18.6,27380.07,10515.2,2022-05-14
113,113,8929.8,6728.71,2201.09,2022-04-24,INR,7.04,628.66,556.5,2022-04-25
114,114,42722.67,24781.03,17941.64,2022-04-25,USD,11.82,5049.82,2291.0,2022-05-23
115,115,59973.3,48794.6,11178.7,2022-04-26,INR,17.48,10483.33,2858.27,2022-04-28
116,116,73194.49,59431.24,13763.25,2022-04-27,USD,5.78,4230.64,7073.1,2022-05-04
117,117,99270.89,82362.89,16908.0,2022-04-28,INR,14.78,14672.24,8219.26,2022-05-28
118,118,40856.08,35200.61,5655.47,2022-04-29,USD,14.32,5850.59,1907.9,2022-05-14
119,119,102071.53,72489.49,29582.04,2022-04-30,INR,8.27,8441.32,8059.83,2022-05-24
120,120,58489.8,42887.12,15602.68,2022-05-01,USD,19.46,11382.12,4695.85,2022-05-25
121,121,123798.67,115206.6,8592.07,2022-05-02,INR,6.62,8195.47,3936.49,2022-05-11
122,122,88490.53,79589.66,8900.87,2022-05-03,USD,10.63,9406.54,8486.5,2022-05-09
123,123,16019.49,12492.61,3526.88,2022-05-04,INR,14.41,2308.41,594.85,2022-05-28
124,124,48729.49,37830.77,10898.72,2022-05-05,USD,17.08,8323.0,4177.87,2022-05-23
125,125,118482.13,70018.44,48463.69,2022-05-06,INR,11.43,13542.51,6627.89,2022-05-22
126,126,98893.77,40245.68,58648.09,2022-05-07,USD,11.3,11175.0,6360.27,2022-05-20
127,127,144314.2,108173.86,36140.34,2022-05-08,INR,17.43,25153.97,11474.65,2022-05-21
128,128,30539.86,20979.68,9560.18,2022-05-09,USD,14.76,4507.68,2232.89,2022-06-07
129,129,83035.07,55295.01,27740.06,2022-05-10,INR,11.53,9573.94,6740.11,2022-05-18
130,130,51734.16,27678.93,24055.23,2022-05-11,USD,19.02,9839.84,2562.13,2022-05-25
131,131,40360.2,26459.73,13900.47,2022-05-12,INR,14.15,5710.97,2281.53,2022-05-12
132,132,76674.44,44375.93,32298.51,2022-05-13,USD,12.31,9438.62,4204.65,2022-05-21
133,133,54349.13,48054.2,6294.93,2022-05-14,INR,15.52,8434.98,2681.52,2022-05-14
134,134,79910.95,40361.51,39549.44,2022-05-15,USD,8.62,6888.32,4670.79,2022-06-01
135,135,114933.87,89629.47,25304.4,2022-05-16,INR,14.69,16883.79,7396.86,2022-06-10
136,136,7500.27,4213.87,3286.4,2022-05-17,USD,11.07,830.28,352.75,2022-06-07
137,137,89325.56,58981.07,30344.49,2022-05-18,INR,12.96,11576.59,5340.35,2022-06-10
138,138,84806.33,50332.2,34474.13,2022-05-19,USD,11.81,10015.63,4364.44,2022-05-26
139,139,22495.1,11380.75,11114.35,2022-05-20,INR,6.79,1527.42,1518.65,2022-06-13
140,140,105073.72,53098.75,51974.97,2022-05-21,USD,16.08,16895.85,5185.91,2022-06-08
141,141,146608.02,100946.99,45661.03,2022-05-22,INR,9.24,13546.58,5429.9,2022-05-28
142,142,47955.74,28700.77,19254.97,2022-05-23,USD,9.53,4570.18,3815.42,2022-05-27
143,143,44775.14,41903.36,2871.78,2022-05-24,INR,13.3,5955.09,3529.14,2022-05-28
144,144,97491.1,79361.24,18129.86,2022-05-25,USD,6.54,6375.92,3008.44,2022-06-03
145,145,73062.56,46925.0,26137.56,2022-05-26,INR,7.77,5676.96,2454.64,2022-06-25
146,146,129949.83,60134.01,69815.82,2022-05-27,USD,5.98,7771.0,8371.66,2022-06-14
147,147,96269.63,41346.36,54923.27,2022-05-28,INR,7.24,6969.92,6680.99,2022-06-06
148,148,17351.23,9309.02,8042.21,2022-05-29,USD,13.37,2319.86,1026.02,2022-06-17
149,149,119657.42,62715.8,56941.62,2022-05-30,INR,12.84,15364.01,7363.24,2022-06-13
150,150,48116.2,34821.16,13295.04,2022-05-31,USD,11.43,5499.68,3358.71,2022-06-01
151,151,93396.48,75375.55,18020.93,2022-06-01,INR,19.21,17941.46,4160.36,2022-06-07
152,152,43373.69,19286.25,24087.44,2022-06-02,USD,8.6,3730.14,2977.15,2022-06-07
153,153,5387.98,3490.21,1897.77,2022-06-03,INR,13.91,749.47,271.49,2022-06-10
154,154,46775.21,25983.4,20791.81,2022-06-04,USD,17.89,8368.09,1636.32,2022-06-11
155,155,138967.1,115802.04,23165.06,2022-06-05,INR,14.38,19983.47,10600.8,2022-07-04
156,156,33683.79,15599.87,18083.92,2022-06-06,USD,8.37,2819.33,1361.81,2022-06-14
157,157,124861.52,54848.6,70012.92,2022-06-07,INR,7.49,9352.13,6434.47,2022-06-30
158,158,124514.84,112892.11,11622.73,2022-06-08,USD,11.59,14431.27,7820.63,2022-06-17
159,159,106461.38,97781.79,8679.59,2022-06-09,INR,12.51,13318.32,6873.75,2022-06-11
160,160,91715.32,81551.67,10163.65,2022-06-10,USD,16.02,14692.79,6627.34,2022-06-10
161,161,18242.4,16948.12,1294.28,2022-06-11,INR,17.54,3199.72,1281.78,2022-07-11
162,162,8008.09,6571.58,1436.51,2022-06-12,USD,17.32,1387.0,563.27,2022-07-06
163,163,114658.98,75534.52,39124.46,2022-06-13,INR,14.77,16935.13,10792.29,2022-06-18
164,164,149557.09,95677.17,53879.92,2022-06-14,USD,17.21,25738.78,14631.75,2022-06-29
165,165,55454.35,32347.61,23106.74,2022-06-15,INR,15.05,8345.88,4993.18,2022-06-25
166,166,64688.54,43503.56,21184.98,2022-06-16,USD,14.94,9664.47,3753.98,2022-07-10
167,167,84764.01,55109.68,29654.33,2022-06-17,INR,9.72,8239.06,4461.06,2022-07-11
168,168,63605.38,43444.25,20161.13,2022-06-18,USD,19.82,12606.59,4836.31,2022-07-05
169,169,71986.57,30940.71,41045.86,2022-06-19,INR,12.78,9199.88,5297.09,2022-07-04
170,170,95684.27,78269.23,17415.04,2022-06-20,USD,8.05,7702.58,6549.15,2022-07-19
171,171,46764.23,41361.35,5402.88,2022-06-21,INR,12.27,5737.97,1497.43,2022-07-11
172,172,93286.39,49592.31,43694.08,2022-06-22,USD,7.38,6884.54,6395.6,2022-07-09
173,173,64158.65,33592.53,30566.12,2022-06-23,INR,17.62,11304.75,2434.33,2022-07-23
174,174,22032.59,18896.88,3135.71,2022-06-24,USD,12.48,2749.67,1766.18,2022-07-10
175,175,107284.69,67430.54,39854.15,2022-06-25,INR,12.24,13131.65,6764.88,2022-07-09
176,176,84933.44,51891.98,33041.46,2022-06-26,USD,18.83,15992.97,5569.67,2022-07-24
177,177,24793.71,10869.45,13924.26,2022-06-27,INR,16.59,4113.28,2226.69,2022-07-07
178,178,140466.02,95412.35,45053.67,2022-06-28,USD,17.31,24314.67,6995.03,2022-07-07
179,179,126434.01,90900.73,35533.28,2022-06-29,INR,14.9,18838.67,11450.91,2022-07-13
180,180,83094.18,49010.46,34083.72,2022-06-30,USD,13.28,11034.91,5653.74,2022-07-14
181,181,140263.58,123190.83,17072.75,2022-07-01,INR,19.71,27645.95,6552.61,2022-07-13
182,182,38866.55,32125.13,6741.42,2022-07-02,USD,5.65,2195.96,3192.08,2022-07-24
183,183,137447.37,83798.52,53648.85,2022-07-03,INR,19.83,27255.81,11747.29,2022-07-23
184,184,147218.63,98994.33,48224.3,2022-07-04,USD,5.56,8185.36,9592.82,2022-07-22
185,185,53139.23,24189.01,28950.22,2022-07-05,INR,17.68,9395.02,1965.08,2022-08-03
186,186,71254.57,56814.41,14440.16,2022-07-06,USD,11.15,7944.88,5403.57,2022-07-10
187,187,15850.1,13153.03,2697.07,2022-07-07,INR,8.98,1423.34,1167.01,2022-07-19
188,188,99226.31,86175.16,13051.15,2022-07-08,USD,17.79,17652.36,8945.64,2022-07-20
189,189,143350.24,106758.59,36591.65,2022-07-09,INR,18.31,26247.43,9196.82,2022-07-26
190,190,10205.37,4466.19,5739.18,2022-07-10,USD,14.47,1476.72,964.05,2022-07-17
191,191,113281.12,72350.87,40930.25,2022-07-11,INR,6.48,7340.62,8423.85,2022-08-07
192,192,19573.55,9620.41,9953.14,2022-07-12,USD,9.49,1857.53,626.87,2022-07-22
193,193,120440.8,67609.72,52831.08,2022-07-13,INR,10.62,12790.81,4840.5,2022-07-29
194,194,64747.5,50178.68,14568.82,2022-07-14,USD,7.7,4985.56,2735.9,2022-08-02
195,195,131271.74,97251.45,34020.29,2022-07-15,INR,8.61,11302.5,12326.16,2022-07-19
196,196,38667.32,29033.26,9634.06,2022-07-16,USD,11.89,4597.54,2964.97,2022-08-13
197,197,121671.8,108977.2,12694.6,2022-07-17,INR,15.16,18445.44,4995.64,2022-07-31
198,198,142059.17,133991.41,8067.76,2022-07-18,USD,9.49,13481.42,13828.33,2022-08-09
199,199,41264.24,35690.15,5574.09,2022-07-19,INR,7.99,3297.01,2349.11,2022-08-03
200,200,20464.72,12478.37,7986.35,2022-07-20,USD,10.38,2124.24,1037.79,2022-08-11
201,201,47808.46,44838.09,2970.37,2022-07-21,INR,14.87,7109.12,2352.83,2022-08-08
202,202,130434.77,108009.3,22425.47,2022-07-22,USD,19.6,25565.21,12227.37,2022-08-14
203,203,77025.46,69113.82,7911.64,2022-07-23,INR,9.29,7155.67,6618.04,2022-08-11
204,204,121280.13,63120.55,58159.58,2022-07-24,USD,7.85,9520.49,5766.13,2022-08-17
205,205,109534.61,83525.6,26009.01,2022-07-25,INR,17.58,19256.18,8103.08,2022-08-22
206,206,95981.43,40473.68,55507.75,2022-07-26,USD,16.83,16153.67,3103.61,2022-08-06
207,207,111192.17,49989.04,61203.13,2022-07-27,INR,9.43,10485.42,9153.75,2022-08-01
208,208,34115.25,28403.74,5711.51,2022-07-28,USD,18.15,6191.92,1897.15,2022-08-13
209,209,137455.61,117766.46,19689.15,2022-07-29,INR,8.85,12164.82,12058.75,2022-08-13
210,210,145270.69,81689.75,63580.94,2022-07-30,USD,18.06,26235.89,12536.32,2022-08-13
211,211,144619.53,69043.73,75575.8,2022-07-31,INR,19.5,28200.81,13046.1,2022-08-23
212,212,102788.9,63582.78,39206.12,2022-08-01,USD,17.69,18183.36,7093.66,2022-08-03
213,213,119648.89,48775.5,70873.39,2022-08-02,INR,13.05,15614.18,7398.49,2022-08-23
214,214,113606.68,61823.48,51783.2,2022-08-03,USD,10.72,12178.64,8486.24,2022-08-14
215,215,20710.18,10947.44,9762.74,2022-08-04,INR,5.38,1114.21,1903.19,2022-08-21
216,216,52560.91,38660.93,13899.98,2022-08-05,USD,14.71,7731.71,3914.65,2022-08-19
217,217,136861.21,77491.45,59369.76,2022-08-06,INR,11.12,15218.97,5444.94,2022-09-05
218,218,10395.76,9852.69,543.07,2022-08-07,USD,6.74,700.67,482.74,2022-08-24
219,219,24671.29,16024.1,8647.19,2022-08-08,INR,15.06,3715.5,2023.53,2022-09-07
220,220,83327.91,60249.18,23078.73,2022-08-09,USD,15.9,13249.14,7664.41,2022-08-29
221,221,19358.14,12953.32,6404.82,2022-08-10,INR,11.12,2152.63,1870.12,2022-08-11
222,222,105090.7,54594.44,50496.26,2022-08-11,USD,11.67,12264.08,4889.65,2022-08-22
223,223,19406.42,15081.2,4325.22,2022-08-12,INR,13.17,2555.83,1910.54,2022-08-23
224,224,13779.76,7602.77,6176.99,2022-08-13,USD,19.52,2689.81,1328.79,2022-09-08
225,225,70934.02,54230.68,16703.34,2022-08-14,INR,14.63,10377.65,5093.08,2022-08-14
226,226,12333.88,7195.96,5137.92,2022-08-15,USD,19.83,2445.81,1049.47,2022-08-21
227,227,14948.47,12270.25,2678.22,2022-08-16,INR,8.11,1212.32,674.42,2022-09-12
228,228,38784.81,32032.48,6752.33,2022-08-17,USD,16.83,6527.48,2781.6,2022-08-25
229,229,129468.89,62090.48,67378.41,2022-08-18,INR,6.95,8998.09,6155.7,2022-08-23
230,230,20939.32,18354.28,2585.04,2022-08-19,USD,6.98,1461.56,1153.27,2022-09-13
231,231,39500.08,22833.98,16666.1,2022-08-20,INR,7.61,3005.96,1329.89,2022-09-12
232,232,66039.28,30543.64,35495.64,2022-08-21,USD,5.95,3929.34,4053.44,2022-09-01
233,233,79419.5,36531.36,42888.14,2022-08-22,INR,12.56,9975.09,7638.5,2022-08-23
234,234,110450.23,99384.6,11065.63,2022-08-23,USD,14.88,16434.99,5645.57,2022-09-12
235,235,144783.8,62757.11,82026.69,2022-08-24,INR,12.18,17634.67,8413.85,2022-09-14
236,236,20654.47,16354.64,4299.83,2022-08-25,USD,11.65,2406.25,1919.81,2022-09-04
237,237,93203.13,40648.24,52554.89,2022-08-26,INR,9.13,8509.45,6926.43,2022-09-12
238,238,108262.16,65985.51,42276.65,2022-08-27,USD,13.96,15113.4,5482.7,2022-09-12
239,239,92786.88,42176.11,50610.77,2022-08-28,INR,15.53,14409.8,8322.56,2022-09-17
240,240,132267.4,93014.98,39252.42,2022-08-29,USD,17.98,23781.68,7949.92,2022-09-26
241,241,38131.57,22360.83,15770.74,2022-08-30,INR,11.8,4499.53,2254.31,2022-09-02
242,242,50319.51,28777.12,21542.39,2022-08-31,USD,8.82,4438.18,4868.49,2022-09-21
243,243,138832.83,60659.3,78173.53,2022-09-01,INR,17.48,24267.98,5071.02,2022-09-04
244,244,112965.4,68339.07,44626.33,2022-09-02,USD,6.95,7851.1,3863.27,2022-10-02
245,245,86430.03,50242.23,36187.8,2022-09-03,INR,6.83,5903.17,4732.21,2022-09-24
246,246,141463.83,89492.18,51971.65,2022-09-04,USD,18.74,26510.32,4753.36,2022-09-13
247,247,92059.46,54628.58,37430.88,2022-09-05,INR,13.67,12584.53,4132.71,2022-09-26
248,248,74917.46,64878.61,10038.85,2022-09-06,USD,10.25,7679.04,5164.7,2022-09-09
249,249,115577.82,82725.4,32852.42,2022-09-07,INR,17.11,19775.37,10305.02,2022-10-01
250,250,123671.89,91203.73,32468.16,2022-09-08,USD,14.64,18105.56,3937.44,2022-10-07
251,251,100385.53,78442.17,21943.36,2022-09-09,INR,5.43,5450.93,4931.83,2022-10-03
252,252,49802.78,29229.43,20573.35,2022-09-10,USD,5.09,2534.96,4526.59,2022-09-28
253,253,100314.97,43965.24,56349.73,2022-09-11,INR,16.11,16160.74,9833.55,2022-09-13
254,254,113186.21,58667.03,54519.18,2022-09-12,USD,11.3,12790.04,6096.52,2022-09-23
255,255,50187.42,29028.94,21158.48,2022-09-13,INR,19.12,9595.83,3600.23,2022-10-11
256,256,12628.28,6144.61,6483.67,2022-09-14,USD,14.27,1802.06,974.62,2022-09-22
257,257,69251.38,43850.54,25400.84,2022-09-15,INR,14.11,9771.37,4085.34,2022-09-21
258,258,114466.76,52952.28,61514.48,2022-09-16,USD,11.45,13106.44,5703.56,2022-10-07
259,259,91004.47,62776.14,28228.33,2022-09-17,INR,9.63,8763.73,4134.91,2022-10-06
260,260,12943.38,6632.61,6310.77,2022-09-18,USD,19.18,2482.54,1083.55,2022-10-12
261,261,42050.33,24408.84,17641.49,2022-09-19,INR,5.12,2152.98,3460.36,2022-09-24
262,262,23731.93,16444.34,7287.59,2022-09-20,USD,8.45,2005.35,1640.13,2022-10-11
263,263,121899.03,53591.88,68307.15,2022-09-21,INR,17.93,21856.5,4017.93,2022-09-21
264,264,71664.37,31734.73,39929.64,2022-09-22,USD,9.7,6951.44,4303.44,2022-10-04
265,265,107877.35,67933.78,39943.57,2022-09-23,INR,6.73,7260.15,3393.82,2022-10-03
266,266,29921.61,27563.42,2358.19,2022-09-24,USD,11.9,3560.67,2342.05,2022-10-05
267,267,17778.83,15369.2,2409.63,2022-09-25,INR,8.65,1537.87,1266.23,2022-10-11
268,268,16403.83,14415.5,1988.33,2022-09-26,USD,16.19,2655.78,746.54,2022-10-20
269,269,29379.24,20000.38,9378.86,2022-09-27,INR,6.71,1971.35,1930.12,2022-10-25
270,270,117553.09,69721.31,47831.78,2022-09-28,USD,19.37,22770.03,8837.76,2022-10-02
271,271,39258.98,18865.68,20393.3,2022-09-29,INR,7.96,3125.01,2833.24,2022-10-23
272,272,115077.1,50800.13,64276.97,2022-09-30,USD,19.27,22175.36,8510.69,2022-10-14
273,273,114394.64,93567.09,20827.55,2022-10-01,INR,11.73,13418.49,10832.12,2022-10-19
274,274,98233.82,92594.47,5639.35,2022-10-02,USD,9.85,9676.03,9623.78,2022-10-12
275,275,26888.82,11765.4,15123.42,2022-10-03,INR,11.63,3127.17,1376.64,2022-10-11
276,276,90755.86,53869.79,36886.07,2022-10-04,USD,6.11,5545.18,5656.08,2022-10-05
277,277,13249.06,11360.18,1888.88,2022-10-05,INR,6.15,814.82,1199.01,2022-11-01
278,278,18092.99,13148.97,4944.02,2022-10-06,USD,10.77,1948.62,1277.78,2022-11-05
