policy_period_id,policy_id,job_id,term_number,effective_date,expiration_date,period_status,written_date,transaction_effective_date
25,25,25,5,2022-01-26,2023-01-26,ACTIVE,2022-01-24,2022-01-24
26,26,26,1,2022-01-27,2023-01-27,EXPIRED,2022-01-20,2022-01-20
27,27,27,2,2022-01-28,2023-01-28,CANCELLED,2022-01-22,2022-01-24
28,28,28,3,2022-01-29,2023-01-29,ENDED,2022-01-19,2022-01-21
29,29,29,4,2022-01-30,2023-01-30,ACTIVE,2022-01-17,2022-01-17
30,30,30,5,2022-01-31,2023-01-31,EXPIRED,2022-01-19,2022-01-22
31,31,31,1,2022-02-01,2023-02-01,CANCELLED,2022-01-23,2022-01-23
32,32,32,2,2022-02-02,2023-02-02,ENDED,2022-01-18,2022-01-21
33,33,33,3,2022-02-03,2023-02-03,ACTIVE,2022-02-01,2022-02-05
34,34,34,4,2022-02-04,2023-02-04,EXPIRED,2022-01-30,2022-02-04
35,35,35,5,2022-02-05,2023-02-05,CANCELLED,2022-01-26,2022-01-28
36,36,36,1,2022-02-06,2023-02-06,ENDED,2022-01-27,2022-01-28
37,37,37,2,2022-02-07,2023-02-07,ACTIVE,2022-01-26,2022-01-26
38,38,38,3,2022-02-08,2023-02-08,EXPIRED,2022-02-07,2022-02-12
39,39,39,4,2022-02-09,2023-02-09,CANCELLED,2022-02-05,2022-02-07
40,40,40,5,2022-02-10,2023-02-10,ENDED,2022-02-08,2022-02-09
41,41,41,1,2022-02-11,2023-02-11,ACTIVE,2022-01-28,2022-01-28
42,42,42,2,2022-02-12,2023-02-12,EXPIRED,2022-02-05,2022-02-07
43,43,43,3,2022-02-13,2023-02-13,CANCELLED,2022-02-05,2022-02-10
44,44,44,4,2022-02-14,2023-02-14,ENDED,2022-01-31,2022-02-02
45,45,45,5,2022-02-15,2023-02-15,ACTIVE,2022-02-12,2022-02-14
46,46,46,1,2022-02-16,2023-02-16,EXPIRED,2022-02-10,2022-02-11
47,47,47,2,2022-02-17,2023-02-17,CANCELLED,2022-02-06,2022-02-08
48,48,48,3,2022-02-18,2023-02-18,ENDED,2022-02-06,2022-02-11
49,49,49,4,2022-02-19,2023-02-19,ACTIVE,2022-02-08,2022-02-08
50,50,50,5,2022-02-20,2023-02-20,EXPIRED,2022-02-10,2022-02-15
51,51,51,1,2022-02-21,2023-02-21,CANCELLED,2022-02-18,2022-02-22
52,52,52,2,2022-02-22,2023-02-22,ENDED,2022-02-10,2022-02-11
53,53,53,3,2022-02-23,2023-02-23,ACTIVE,2022-02-20,2022-02-23
54,54,54,4,2022-02-24,2023-02-24,EXPIRED,2022-02-17,2022-02-19
55,55,55,5,2022-02-25,2023-02-25,CANCELLED,2022-02-10,2022-02-15
56,56,56,1,2022-02-26,2023-02-26,ENDED,2022-02-14,2022-02-18
57,57,57,2,2022-02-27,2023-02-27,ACTIVE,2022-02-23,2022-02-28
58,58,58,3,2022-02-28,2023-02-28,EXPIRED,2022-02-22,2022-02-22
59,59,59,4,2022-03-01,2023-03-01,CANCELLED,2022-02-25,2022-02-25
60,60,60,5,2022-03-02,2023-03-02,ENDED,2022-02-17,2022-02-19
61,61,61,1,2022-03-03,2023-03-03,ACTIVE,2022-02-24,2022-02-26
62,62,62,2,2022-03-04,2023-03-04,EXPIRED,2022-03-02,2022-03-03
63,63,63,3,2022-03-05,2023-03-05,CANCELLED,2022-02-18,2022-02-22
64,64,64,4,2022-03-06,2023-03-06,ENDED,2022-02-19,2022-02-24
65,65,65,5,2022-03-07,2023-03-07,ACTIVE,2022-03-01,2022-03-02
66,66,66,1,2022-03-08,2023-03-08,EXPIRED,2022-02-25,2022-02-28
67,67,67,2,2022-03-09,2023-03-09,CANCELLED,2022-03-02,2022-03-07
68,68,68,3,2022-03-10,2023-03-10,ENDED,2022-03-02,2022-03-03
69,69,69,4,2022-03-11,2023-03-11,ACTIVE,2022-03-06,2022-03-07
70,70,70,5,2022-03-12,2023-03-12,EXPIRED,2022-03-08,2022-03-13
71,71,71,1,2022-03-13,2023-03-13,CANCELLED,2022-03-04,2022-03-08
72,72,72,2,2022-03-14,2023-03-14,ENDED,2022-03-09,2022-03-14
73,73,73,3,2022-03-15,2023-03-15,ACTIVE,2022-03-05,2022-03-08
74,74,74,4,2022-03-16,2023-03-16,EXPIRED,2022-03-01,2022-03-05
75,75,75,5,2022-03-17,2023-03-17,CANCELLED,2022-03-10,2022-03-12
76,76,76,1,2022-03-18,2023-03-18,ENDED,2022-03-14,2022-03-15
77,77,77,2,2022-03-19,2023-03-19,ACTIVE,2022-03-10,2022-03-13
78,78,78,3,2022-03-20,2023-03-20,EXPIRED,2022-03-18,2022-03-18
79,79,79,4,2022-03-21,2023-03-21,CANCELLED,2022-03-07,2022-03-07
80,80,80,5,2022-03-22,2023-03-22,ENDED,2022-03-19,2022-03-24
81,81,81,1,2022-03-23,2023-03-23,ACTIVE,2022-03-20,2022-03-25
82,82,82,2,2022-03-24,2023-03-24,EXPIRED,2022-03-17,2022-03-21
83,83,83,3,2022-03-25,2023-03-25,CANCELLED,2022-03-23,2022-03-26
84,84,84,4,2022-03-26,2023-03-26,ENDED,2022-03-19,2022-03-23
85,85,85,5,2022-03-27,2023-03-27,ACTIVE,2022-03-19,2022-03-23
86,86,86,1,2022-03-28,2023-03-28,EXPIRED,2022-03-23,2022-03-27
87,87,87,2,2022-03-29,2023-03-29,CANCELLED,2022-03-15,2022-03-15
88,88,88,3,2022-03-30,2023-03-30,ENDED,2022-03-19,2022-03-24
89,89,89,4,2022-03-31,2023-03-31,ACTIVE,2022-03-29,2022-04-03
90,90,90,5,2022-04-01,2023-04-01,EXPIRED,2022-03-17,2022-03-21
91,91,91,1,2022-04-02,2023-04-02,CANCELLED,2022-03-20,2022-03-22
92,92,92,2,2022-04-03,2023-04-03,ENDED,2022-03-21,2022-03-26
93,93,93,3,2022-04-04,2023-04-04,ACTIVE,2022-03-29,2022-03-29
94,94,94,4,2022-04-05,2023-04-05,EXPIRED,2022-03-31,2022-04-03
95,95,95,5,2022-04-06,2023-04-06,CANCELLED,2022-04-03,2022-04-06
96,96,96,1,2022-04-07,2023-04-07,ENDED,2022-04-06,2022-04-11
97,97,97,2,2022-04-08,2023-04-08,ACTIVE,2022-03-24,2022-03-29
98,98,98,3,2022-04-09,2023-04-09,EXPIRED,2022-04-04,2022-04-08
99,99,99,4,2022-04-10,2023-04-10,CANCELLED,2022-03-28,2022-03-29
100,100,100,5,2022-04-11,2023-04-11,ENDED,2022-04-02,2022-04-02
101,101,101,1,2022-04-12,2023-04-12,ACTIVE,2022-03-29,2022-04-03
102,102,102,2,2022-04-13,2023-04-13,EXPIRED,2022-04-08,2022-04-13
103,103,103,3,2022-04-14,2023-04-14,CANCELLED,2022-04-05,2022-04-09
104,104,104,4,2022-04-15,2023-04-15,ENDED,2022-04-11,2022-04-12
105,105,105,5,2022-04-16,2023-04-16,ACTIVE,2022-04-10,2022-04-11
106,106,106,1,2022-04-17,2023-04-17,EXPIRED,2022-04-08,2022-04-12
107,107,107,2,2022-04-18,2023-04-18,CANCELLED,2022-04-03,2022-04-03
108,108,108,3,2022-04-19,2023-04-19,ENDED,2022-04-09,2022-04-11
109,109,109,4,2022-04-20,2023-04-20,ACTIVE,2022-04-12,2022-04-12
110,110,110,5,2022-04-21,2023-04-21,EXPIRED,2022-04-19,2022-04-21
111,111,111,1,2022-04-22,2023-04-22,CANCELLED,2022-04-07,2022-04-09
112,112,112,2,2022-04-23,2023-04-23,ENDED,2022-04-19,2022-04-19
113,113,113,3,2022-04-24,2023-04-24,ACTIVE,2022-04-20,2022-04-24
114,114,114,4,2022-04-25,2023-04-25,EXPIRED,2022-04-23,2022-04-23
115,115,115,5,2022-04-26,2023-04-26,CANCELLED,2022-04-14,2022-04-17
116,116,116,1,2022-04-27,2023-04-27,ENDED,2022-04-13,2022-04-13
117,117,117,2,2022-04-28,2023-04-28,ACTIVE,2022-04-15,2022-04-19
118,118,118,3,2022-04-29,2023-04-29,EXPIRED,2022-04-16,2022-04-17
119,119,119,4,2022-04-30,2023-04-30,CANCELLED,2022-04-27,2022-05-02
120,120,120,5,2022-05-01,2023-05-01,ENDED,2022-04-23,2022-04-27
121,121,121,1,2022-05-02,2023-05-02,ACTIVE,2022-04-29,2022-05-01
122,122,122,2,2022-05-03,2023-05-03,EXPIRED,2022-04-24,2022-04-28
123,123,123,3,2022-05-04,2023-05-04,CANCELLED,2022-04-27,2022-04-28
124,124,124,4,2022-05-05,2023-05-05,ENDED,2022-04-20,2022-04-24
125,125,125,5,2022-05-06,2023-05-06,ACTIVE,2022-04-23,2022-04-28
126,126,126,1,2022-05-07,2023-05-07,EXPIRED,2022-04-25,2022-04-26
127,127,127,2,2022-05-08,2023-05-08,CANCELLED,2022-04-26,2022-04-28
128,128,128,3,2022-05-09,2023-05-09,ENDED,2022-05-02,2022-05-07
129,129,129,4,2022-05-10,2023-05-10,ACTIVE,2022-04-29,2022-05-01
130,130,130,5,2022-05-11,2023-05-11,EXPIRED,2022-05-03,2022-05-07
131,131,131,1,2022-05-12,2023-05-12,CANCELLED,2022-05-04,2022-05-04
132,132,132,2,2022-05-13,2023-05-13,ENDED,2022-05-09,2022-05-10
133,133,133,3,2022-05-14,2023-05-14,ACTIVE,2022-05-12,2022-05-14
134,134,134,4,2022-05-15,2023-05-15,EXPIRED,2022-05-14,2022-05-18
135,135,135,5,2022-05-16,2023-05-16,CANCELLED,2022-05-07,2022-05-08
136,136,136,1,2022-05-17,2023-05-17,ENDED,2022-05-07,2022-05-08
137,137,137,2,2022-05-18,2023-05-18,ACTIVE,2022-05-17,2022-05-17
138,138,138,3,2022-05-19,2023-05-19,EXPIRED,2022-05-07,2022-05-12
139,139,139,4,2022-05-20,2023-05-20,CANCELLED,2022-05-19,2022-05-20
140,140,140,5,2022-05-21,2023-05-21,ENDED,2022-05-19,2022-05-19
141,141,141,1,2022-05-22,2023-05-22,ACTIVE,2022-05-08,2022-05-10
142,142,142,2,2022-05-23,2023-05-23,EXPIRED,2022-05-21,2022-05-25
143,143,143,3,2022-05-24,2023-05-24,CANCELLED,2022-05-20,2022-05-22
144,144,144,4,2022-05-25,2023-05-25,ENDED,2022-05-14,2022-05-17
145,145,145,5,2022-05-26,2023-05-26,ACTIVE,2022-05-22,2022-05-26
146,146,146,1,2022-05-27,2023-05-27,EXPIRED,2022-05-24,2022-05-29
147,147,147,2,2022-05-28,2023-05-28,CANCELLED,2022-05-13,2022-05-17
148,148,148,3,2022-05-29,2023-05-29,ENDED,2022-05-19,2022-05-22
149,149,149,4,2022-05-30,2023-05-30,ACTIVE,2022-05-26,2022-05-29
150,150,150,5,2022-05-31,2023-05-31,EXPIRED,2022-05-18,2022-05-21
151,151,151,1,2022-06-01,2023-06-01,CANCELLED,2022-05-28,2022-05-28
152,152,152,2,2022-06-02,2023-06-02,ENDED,2022-05-31,2022-06-05
153,153,153,3,2022-06-03,2023-06-03,ACTIVE,2022-05-27,2022-05-29
154,154,154,4,2022-06-04,2023-06-04,EXPIRED,2022-05-28,2022-05-31
155,155,155,5,2022-06-05,2023-06-05,CANCELLED,2022-05-28,2022-06-02
156,156,156,1,2022-06-06,2023-06-06,ENDED,2022-06-05,2022-06-10
157,157,157,2,2022-06-07,2023-06-07,ACTIVE,2022-05-27,2022-06-01
158,158,158,3,2022-06-08,2023-06-08,EXPIRED,2022-06-06,2022-06-06
159,159,159,4,2022-06-09,2023-06-09,CANCELLED,2022-06-02,2022-06-07
160,160,160,5,2022-06-10,2023-06-10,ENDED,2022-06-04,2022-06-04
161,161,161,1,2022-06-11,2023-06-11,ACTIVE,2022-06-07,2022-06-08
162,162,162,2,2022-06-12,2023-06-12,EXPIRED,2022-06-08,2022-06-12
163,163,163,3,2022-06-13,2023-06-13,CANCELLED,2022-06-05,2022-06-06
164,164,164,4,2022-06-14,2023-06-14,ENDED,2022-06-07,2022-06-08
165,165,165,5,2022-06-15,2023-06-15,ACTIVE,2022-06-10,2022-06-13
166,166,166,1,2022-06-16,2023-06-16,EXPIRED,2022-06-12,2022-06-12
167,167,167,2,2022-06-17,2023-06-17,CANCELLED,2022-06-09,2022-06-13
168,168,168,3,2022-06-18,2023-06-18,ENDED,2022-06-16,2022-06-16
169,169,169,4,2022-06-19,2023-06-19,ACTIVE,2022-06-08,2022-06-12
170,170,170,5,2022-06-20,2023-06-20,EXPIRED,2022-06-06,2022-06-06
171,171,171,1,2022-06-21,2023-06-21,CANCELLED,2022-06-19,2022-06-20
172,172,172,2,2022-06-22,2023-06-22,ENDED,2022-06-19,2022-06-22
173,173,173,3,2022-06-23,2023-06-23,ACTIVE,2022-06-15,2022-06-18
174,174,174,4,2022-06-24,2023-06-24,EXPIRED,2022-06-20,2022-06-23
175,175,175,5,2022-06-25,2023-06-25,CANCELLED,2022-06-10,2022-06-10
176,176,176,1,2022-06-26,2023-06-26,ENDED,2022-06-23,2022-06-26
177,177,177,2,2022-06-27,2023-06-27,ACTIVE,2022-06-26,2022-06-29
178,178,178,3,2022-06-28,2023-06-28,EXPIRED,2022-06-23,2022-06-26
179,179,179,4,2022-06-29,2023-06-29,CANCELLED,2022-06-24,2022-06-27
180,180,180,5,2022-06-30,2023-06-30,ENDED,2022-06-18,2022-06-23
181,181,181,1,2022-07-01,2023-07-01,ACTIVE,2022-06-18,2022-06-22
182,182,182,2,2022-07-02,2023-07-02,EXPIRED,2022-06-21,2022-06-26
183,183,183,3,2022-07-03,2023-07-03,CANCELLED,2022-06-25,2022-06-26
184,184,184,4,2022-07-04,2023-07-04,ENDED,2022-06-30,2022-07-02
185,185,185,5,2022-07-05,2023-07-05,ACTIVE,2022-07-01,2022-07-01
186,186,186,1,2022-07-06,2023-07-06,EXPIRED,2022-06-26,2022-07-01
187,187,187,2,2022-07-07,2023-07-07,CANCELLED,2022-06-28,2022-06-28
188,188,188,3,2022-07-08,2023-07-08,ENDED,2022-06-26,2022-06-28
189,189,189,4,2022-07-09,2023-07-09,ACTIVE,2022-07-08,2022-07-08
190,190,190,5,2022-07-10,2023-07-10,EXPIRED,2022-06-30,2022-07-03
191,191,191,1,2022-07-11,2023-07-11,CANCELLED,2022-07-02,2022-07-06
192,192,192,2,2022-07-12,2023-07-12,ENDED,2022-07-09,2022-07-09
193,193,193,3,2022-07-13,2023-07-13,ACTIVE,2022-07-04,2022-07-04
194,194,194,4,2022-07-14,2023-07-14,EXPIRED,2022-06-30,2022-07-01
195,195,195,5,2022-07-15,2023-07-15,CANCELLED,2022-07-13,2022-07-17
196,196,196,1,2022-07-16,2023-07-16,ENDED,2022-07-14,2022-07-19
197,197,197,2,2022-07-17,2023-07-17,ACTIVE,2022-07-03,2022-07-04
198,198,198,3,2022-07-18,2023-07-18,EXPIRED,2022-07-11,2022-07-11
199,199,199,4,2022-07-19,2023-07-19,CANCELLED,2022-07-04,2022-07-08
200,200,200,5,2022-07-20,2023-07-20,ENDED,2022-07-16,2022-07-20
201,201,201,1,2022-07-21,2023-07-21,ACTIVE,2022-07-11,2022-07-11
202,202,202,2,2022-07-22,2023-07-22,EXPIRED,2022-07-12,2022-07-12
203,203,203,3,2022-07-23,2023-07-23,CANCELLED,2022-07-16,2022-07-21
204,204,204,4,2022-07-24,2023-07-24,ENDED,2022-07-14,2022-07-18
205,205,205,5,2022-07-25,2023-07-25,ACTIVE,2022-07-16,2022-07-18
206,206,206,1,2022-07-26,2023-07-26,EXPIRED,2022-07-11,2022-07-13
207,207,207,2,2022-07-27,2023-07-27,CANCELLED,2022-07-23,2022-07-28
208,208,208,3,2022-07-28,2023-07-28,ENDED,2022-07-16,2022-07-18
209,209,209,4,2022-07-29,2023-07-29,ACTIVE,2022-07-25,2022-07-27
210,210,210,5,2022-07-30,2023-07-30,EXPIRED,2022-07-23,2022-07-24
211,211,211,1,2022-07-31,2023-07-31,CANCELLED,2022-07-20,2022-07-25
212,212,212,2,2022-08-01,2023-08-01,ENDED,2022-07-27,2022-07-30
213,213,213,3,2022-08-02,2023-08-02,ACTIVE,2022-07-27,2022-07-27
214,214,214,4,2022-08-03,2023-08-03,EXPIRED,2022-08-02,2022-08-05
215,215,215,5,2022-08-04,2023-08-04,CANCELLED,2022-07-25,2022-07-29
216,216,216,1,2022-08-05,2023-08-05,ENDED,2022-08-03,2022-08-03
217,217,217,2,2022-08-06,2023-08-06,ACTIVE,2022-07-28,2022-07-29
218,218,218,3,2022-08-07,2023-08-07,EXPIRED,2022-07-29,2022-07-31
219,219,219,4,2022-08-08,2023-08-08,CANCELLED,2022-08-05,2022-08-07
220,220,220,5,2022-08-09,2023-08-09,ENDED,2022-07-25,2022-07-25
221,221,221,1,2022-08-10,2023-08-10,ACTIVE,2022-07-26,2022-07-27
222,222,222,2,2022-08-11,2023-08-11,EXPIRED,2022-08-05,2022-08-07
223,223,223,3,2022-08-12,2023-08-12,CANCELLED,2022-08-09,2022-08-12
224,224,224,4,2022-08-13,2023-08-13,ENDED,2022-07-30,2022-08-03
225,225,225,5,2022-08-14,2023-08-14,ACTIVE,2022-08-02,2022-08-04
226,226,226,1,2022-08-15,2023-08-15,EXPIRED,2022-08-05,2022-08-10
227,227,227,2,2022-08-16,2023-08-16,CANCELLED,2022-08-07,2022-08-07
228,228,228,3,2022-08-17,2023-08-17,ENDED,2022-08-06,2022-08-10
229,229,229,4,2022-08-18,2023-08-18,ACTIVE,2022-08-13,2022-08-18
230,230,230,5,2022-08-19,2023-08-19,EXPIRED,2022-08-17,2022-08-18
231,231,231,1,2022-08-20,2023-08-20,CANCELLED,2022-08-15,2022-08-15
232,232,232,2,2022-08-21,2023-08-21,ENDED,2022-08-06,2022-08-06
233,233,233,3,2022-08-22,2023-08-22,ACTIVE,2022-08-10,2022-08-14
234,234,234,4,2022-08-23,2023-08-23,EXPIRED,2022-08-20,2022-08-22
235,235,235,5,2022-08-24,2023-08-24,CANCELLED,2022-08-19,2022-08-23
236,236,236,1,2022-08-25,2023-08-25,ENDED,2022-08-21,2022-08-26
237,237,237,2,2022-08-26,2023-08-26,ACTIVE,2022-08-20,2022-08-21
238,238,238,3,2022-08-27,2023-08-27,EXPIRED,2022-08-16,2022-08-21
239,239,239,4,2022-08-28,2023-08-28,CANCELLED,2022-08-14,2022-08-16
240,240,240,5,2022-08-29,2023-08-29,ENDED,2022-08-20,2022-08-23
241,241,241,1,2022-08-30,2023-08-30,ACTIVE,2022-08-25,2022-08-25
242,242,242,2,2022-08-31,2023-08-31,EXPIRED,2022-08-29,2022-09-03
243,243,243,3,2022-09-01,2023-09-01,CANCELLED,2022-08-25,2022-08-27
244,244,244,4,2022-09-02,2023-09-02,ENDED,2022-09-01,2022-09-01
245,245,245,5,2022-09-03,2023-09-03,ACTIVE,2022-08-28,2022-08-29
246,246,246,1,2022-09-04,2023-09-04,EXPIRED,2022-08-24,2022-08-26
247,247,247,2,2022-09-05,2023-09-05,CANCELLED,2022-09-02,2022-09-07
248,248,248,3,2022-09-06,2023-09-06,ENDED,2022-08-29,2022-09-02
249,249,249,4,2022-09-07,2023-09-07,ACTIVE,2022-08-26,2022-08-29
250,250,250,5,2022-09-08,2023-09-08,EXPIRED,2022-08-30,2022-08-30
251,251,251,1,2022-09-09,2023-09-09,CANCELLED,2022-09-07,2022-09-07
252,252,252,2,2022-09-10,2023-09-10,ENDED,2022-08-26,2022-08-31
253,253,253,3,2022-09-11,2023-09-11,ACTIVE,2022-08-27,2022-08-28
254,254,254,4,2022-09-12,2023-09-12,EXPIRED,2022-09-03,2022-09-03
255,255,255,5,2022-09-13,2023-09-13,CANCELLED,2022-08-30,2022-09-01
256,256,256,1,2022-09-14,2023-09-14,ENDED,2022-09-04,2022-09-08
257,257,257,2,2022-09-15,2023-09-15,ACTIVE,2022-09-12,2022-09-15
258,258,258,3,2022-09-16,2023-09-16,EXPIRED,2022-09-13,2022-09-13
259,259,259,4,2022-09-17,2023-09-17,CANCELLED,2022-09-12,2022-09-14
260,260,260,5,2022-09-18,2023-09-18,ENDED,2022-09-03,2022-09-03
261,261,261,1,2022-09-19,2023-09-19,ACTIVE,2022-09-04,2022-09-06
262,262,262,2,2022-09-20,2023-09-20,EXPIRED,2022-09-16,2022-09-21
263,263,263,3,2022-09-21,2023-09-21,CANCELLED,2022-09-17,2022-09-22
264,264,264,4,2022-09-22,2023-09-22,ENDED,2022-09-20,2022-09-22
265,265,265,5,2022-09-23,2023-09-23,ACTIVE,2022-09-10,2022-09-14
266,266,266,1,2022-09-24,2023-09-24,EXPIRED,2022-09-09,2022-09-12
267,267,267,2,2022-09-25,2023-09-25,CANCELLED,2022-09-15,2022-09-20
268,268,268,3,2022-09-26,2023-09-26,ENDED,2022-09-23,2022-09-24
269,269,269,4,2022-09-27,2023-09-27,ACTIVE,2022-09-13,2022-09-14
270,270,270,5,2022-09-28,2023-09-28,EXPIRED,2022-09-15,2022-09-16
271,271,271,1,2022-09-29,2023-09-29,CANCELLED,2022-09-14,2022-09-17
272,272,272,2,2022-09-30,2023-09-30,ENDED,2022-09-29,2022-09-30
273,273,273,3,2022-10-01,2023-10-01,ACTIVE,2022-09-19,2022-09-21
274,274,274,4,2022-10-02,2023-10-02,EXPIRED,2022-09-19,2022-09-22
275,275,275,5,2022-10-03,2023-10-03,CANCELLED,2022-09-20,2022-09-25
276,276,276,1,2022-10-04,2023-10-04,ENDED,2022-09-20,2022-09-25
277,277,277,2,2022-10-05,2023-10-05,ACTIVE,2022-09-22,2022-09-23
278,278,278,3,2022-10-06,2023-10-06,EXPIRED,2022-10-01,2022-10-02
279,279,279,4,2022-10-07,2023-10-07,CANCELLED,2022-09-24,2022-09-29
280,280,280,5,2022-10-08,2023-10-08,ENDED,2022-10-06,2022-10-09
281,281,281,1,2022-10-09,2023-10-09,ACTIVE,2022-09-25,2022-09-25
282,282,282,2,2022-10-10,2023-10-10,EXPIRED,2022-09-26,2022-09-29
283,283,283,3,2022-10-11,2023-10-11,CANCELLED,2022-10-07,2022-10-08
284,284,284,4,2022-10-12,2023-10-12,ENDED,2022-09-28,2022-10-01
285,285,285,5,2022-10-13,2023-10-13,ACTIVE,2022-10-07,2022-10-09
286,286,286,1,2022-10-14,2023-10-14,EXPIRED,2022-09-30,2022-10-01
287,287,287,2,2022-10-15,2023-10-15,CANCELLED,2022-10-11,2022-10-11
288,288,288,3,2022-10-16,2023-10-16,ENDED,2022-10-05,2022-10-06
289,289,289,4,2022-10-17,2023-10-17,ACTIVE,2022-10-10,2022-10-12
290,290,290,5,2022-10-18,2023-10-18,EXPIRED,2022-10-13,2022-10-13
291,291,291,1,2022-10-19,2023-10-19,CANCELLED,2022-10-06,2022-10-08
292,292,292,2,2022-10-20,2023-10-20,ENDED,2022-10-14,2022-10-19
293,293,293,3,2022-10-21,2023-10-21,ACTIVE,2022-10-12,2022-10-15
294,294,294,4,2022-10-22,2023-10-22,EXPIRED,2022-10-11,2022-10-15
295,295,295,5,2022-10-23,2023-10-23,CANCELLED,2022-10-17,2022-10-17
296,296,296,1,2022-10-24,2023-10-24,ENDED,2022-10-22,2022-10-24
297,297,297,2,2022-10-25,2023-10-25,ACTIVE,2022-10-22,2022-10-26
298,298,298,3,2022-10-26,2023-10-26,EXPIRED,2022-10-21,2022-10-21
299,299,299,4,2022-10-27,2023-10-27,CANCELLED,2022-10-25,2022-10-29
300,300,300,5,2022-10-28,2023-10-28,ENDED,2022-10-21,2022-10-23
301,301,301,1,2022-10-29,2023-10-29,ACTIVE,2022-10-17,2022-10-19
302,302,302,2,2022-10-30,2023-10-30,EXPIRED,2022-10-23,2022-10-27
303,303,303,3,2022-10-31,2023-10-31,CANCELLED,2022-10-22,2022-10-22
304,304,304,4,2022-11-01,2023-11-01,ENDED,2022-10-25,2022-10-29
305,305,305,5,2022-11-02,2023-11-02,ACTIVE,2022-10-29,2022-10-31
306,306,306,1,2022-11-03,2023-11-03,EXPIRED,2022-11-02,2022-11-07
307,307,307,2,2022-11-04,2023-11-04,CANCELLED,2022-10-28,2022-10-28
308,308,308,3,2022-11-05,2023-11-05,ENDED,2022-10-27,2022-10-31
309,309,309,4,2022-11-06,2023-11-06,ACTIVE,2022-10-26,2022-10-31
310,310,310,5,2022-11-07,2023-11-07,EXPIRED,2022-10-26,2022-10-31
311,311,311,1,2022-11-08,2023-11-08,CANCELLED,2022-10-28,2022-10-29
312,312,312,2,2022-11-09,2023-11-09,ENDED,2022-11-03,2022-11-06
313,313,313,3,2022-11-10,2023-11-10,ACTIVE,2022-11-08,2022-11-13
314,314,314,4,2022-11-11,2023-11-11,EXPIRED,2022-10-27,2022-10-29
315,315,315,5,2022-11-12,2023-11-12,CANCELLED,2022-11-02,2022-11-04
316,316,316,1,2022-11-13,2023-11-13,ENDED,2022-11-02,2022-11-02
317,317,317,2,2022-11-14,2023-11-14,ACTIVE,2022-11-02,2022-11-04
318,318,318,3,2022-11-15,2023-11-15,EXPIRED,2022-11-06,2022-11-08
319,319,319,4,2022-11-16,2023-11-16,CANCELLED,2022-11-05,2022-11-08
320,320,320,5,2022-11-17,2023-11-17,ENDED,2022-11-11,2022-11-14
321,321,321,1,2022-11-18,2023-11-18,ACTIVE,2022-11-06,2022-11-08
322,322,322,2,2022-11-19,2023-11-19,EXPIRED,2022-11-10,2022-11-11
323,323,323,3,2022-11-20,2023-11-20,CANCELLED,2022-11-16,2022-11-19
324,324,324,4,2022-11-21,2023-11-21,ENDED,2022-11-10,2022-11-13
325,325,325,5,2022-11-22,2023-11-22,ACTIVE,2022-11-11,2022-11-16
326,326,326,1,2022-11-23,2023-11-23,EXPIRED,2022-11-08,2022-11-09
327,327,327,2,2022-11-24,2023-11-24,CANCELLED,2022-11-14,2022-11-18
