account_id,account_number,account_name,industry_type,state_code,account_status,created_date,updated_timestamp
69,ACC100069,Commercial Account 0069,Healthcare,NY,ACTIVE,2021-03-11,2021-03-20 09:00:00
70,ACC100070,Commercial Account 0070,Hospitality,IL,INACTIVE,2021-03-12,2021-03-22 09:00:00
71,ACC100071,Commercial Account 0071,Retail,CA,ACTIVE,2021-03-13,2021-03-24 09:00:00
72,ACC100072,Commercial Account 0072,Construction,TX,ACTIVE,2021-03-14,2021-03-26 09:00:00
73,ACC100073,Commercial Account 0073,Manufacturing,FL,ACTIVE,2021-03-15,2021-03-28 09:00:00
74,ACC100074,Commercial Account 0074,Technology,NY,ACTIVE,2021-03-16,2021-03-30 09:00:00
75,ACC100075,Commercial Account 0075,Transportation,IL,ACTIVE,2021-03-17,2021-04-01 09:00:00
76,ACC100076,Commercial Account 0076,Healthcare,CA,ACTIVE,2021-03-18,2021-04-03 09:00:00
77,ACC100077,Commercial Account 0077,Hospitality,TX,ACTIVE,2021-03-19,2021-04-05 09:00:00
78,ACC100078,Commercial Account 0078,Retail,FL,ACTIVE,2021-03-20,2021-04-07 09:00:00
79,ACC100079,Commercial Account 0079,Construction,NY,ACTIVE,2021-03-21,2021-04-09 09:00:00
80,ACC100080,Commercial Account 0080,Manufacturing,IL,CLOSED,2021-03-22,2021-04-11 09:00:00
81,ACC100081,Commercial Account 0081,Technology,CA,ACTIVE,2021-03-23,2021-04-13 09:00:00
82,ACC100082,Commercial Account 0082,Transportation,TX,ACTIVE,2021-03-24,2021-04-15 09:00:00
83,ACC100083,Commercial Account 0083,Healthcare,FL,ACTIVE,2021-03-25,2021-04-17 09:00:00
84,ACC100084,Commercial Account 0084,Hospitality,NY,ACTIVE,2021-03-26,2021-04-19 09:00:00
85,ACC100085,Commercial Account 0085,Retail,IL,ACTIVE,2021-03-27,2021-04-21 09:00:00
86,ACC100086,Commercial Account 0086,Construction,CA,ACTIVE,2021-03-28,2021-04-23 09:00:00
87,ACC100087,Commercial Account 0087,Manufacturing,TX,ACTIVE,2021-03-29,2021-04-25 09:00:00
88,ACC100088,Commercial Account 0088,Technology,FL,ACTIVE,2021-03-30,2021-04-27 09:00:00
89,ACC100089,Commercial Account 0089,Transportation,NY,ACTIVE,2021-03-31,2021-04-29 09:00:00
90,ACC100090,Commercial Account 0090,Healthcare,IL,INACTIVE,2021-04-01,2021-04-01 09:00:00
91,ACC100091,Commercial Account 0091,Hospitality,CA,ACTIVE,2021-04-02,2021-04-03 09:00:00
92,ACC100092,Commercial Account 0092,Retail,TX,ACTIVE,2021-04-03,2021-04-05 09:00:00
93,ACC100093,Commercial Account 0093,Construction,FL,ACTIVE,2021-04-04,2021-04-07 09:00:00
94,ACC100094,Commercial Account 0094,Manufacturing,NY,ACTIVE,2021-04-05,2021-04-09 09:00:00
95,ACC100095,Commercial Account 0095,Technology,IL,ACTIVE,2021-04-06,2021-04-11 09:00:00
96,ACC100096,Commercial Account 0096,Transportation,CA,ACTIVE,2021-04-07,2021-04-13 09:00:00
97,ACC100097,Commercial Account 0097,Healthcare,TX,ACTIVE,2021-04-08,2021-04-15 09:00:00
98,ACC100098,Commercial Account 0098,Hospitality,FL,ACTIVE,2021-04-09,2021-04-17 09:00:00
99,ACC100099,Commercial Account 0099,Retail,NY,ACTIVE,2021-04-10,2021-04-19 09:00:00
100,ACC100100,Commercial Account 0100,Construction,IL,CLOSED,2021-04-11,2021-04-21 09:00:00
101,ACC100101,Commercial Account 0101,Manufacturing,CA,ACTIVE,2021-04-12,2021-04-23 09:00:00
102,ACC100102,Commercial Account 0102,Technology,TX,ACTIVE,2021-04-13,2021-04-25 09:00:00
103,ACC100103,Commercial Account 0103,Transportation,FL,ACTIVE,2021-04-14,2021-04-27 09:00:00
104,ACC100104,Commercial Account 0104,Healthcare,NY,ACTIVE,2021-04-15,2021-04-29 09:00:00
105,ACC100105,Commercial Account 0105,Hospitality,IL,ACTIVE,2021-04-16,2021-05-01 09:00:00
106,ACC100106,Commercial Account 0106,Retail,CA,ACTIVE,2021-04-17,2021-05-03 09:00:00
107,ACC100107,Commercial Account 0107,Construction,TX,ACTIVE,2021-04-18,2021-05-05 09:00:00
108,ACC100108,Commercial Account 0108,Manufacturing,FL,ACTIVE,2021-04-19,2021-05-07 09:00:00
109,ACC100109,Commercial Account 0109,Technology,NY,ACTIVE,2021-04-20,2021-05-09 09:00:00
110,ACC100110,Commercial Account 0110,Transportation,IL,INACTIVE,2021-04-21,2021-05-11 09:00:00
111,ACC100111,Commercial Account 0111,Healthcare,CA,ACTIVE,2021-04-22,2021-05-13 09:00:00
112,ACC100112,Commercial Account 0112,Hospitality,TX,ACTIVE,2021-04-23,2021-05-15 09:00:00
113,ACC100113,Commercial Account 0113,Retail,FL,ACTIVE,2021-04-24,2021-05-17 09:00:00
114,ACC100114,Commercial Account 0114,Construction,NY,ACTIVE,2021-04-25,2021-05-19 09:00:00
115,ACC100115,Commercial Account 0115,Manufacturing,IL,ACTIVE,2021-04-26,2021-05-21 09:00:00
116,ACC100116,Commercial Account 0116,Technology,CA,ACTIVE,2021-04-27,2021-05-23 09:00:00
117,ACC100117,Commercial Account 0117,Transportation,TX,ACTIVE,2021-04-28,2021-05-25 09:00:00
118,ACC100118,Commercial Account 0118,Healthcare,FL,ACTIVE,2021-04-29,2021-05-27 09:00:00
119,ACC100119,Commercial Account 0119,Hospitality,NY,ACTIVE,2021-04-30,2021-05-29 09:00:00
120,ACC100120,Commercial Account 0120,Retail,IL,CLOSED,2021-05-01,2021-05-01 09:00:00
121,ACC100121,Commercial Account 0121,Construction,CA,ACTIVE,2021-05-02,2021-05-03 09:00:00
122,ACC100122,Commercial Account 0122,Manufacturing,TX,ACTIVE,2021-05-03,2021-05-05 09:00:00
123,ACC100123,Commercial Account 0123,Technology,FL,ACTIVE,2021-05-04,2021-05-07 09:00:00
124,ACC100124,Commercial Account 0124,Transportation,NY,ACTIVE,2021-05-05,2021-05-09 09:00:00
125,ACC100125,Commercial Account 0125,Healthcare,IL,ACTIVE,2021-05-06,2021-05-11 09:00:00
126,ACC100126,Commercial Account 0126,Hospitality,CA,ACTIVE,2021-05-07,2021-05-13 09:00:00
127,ACC100127,Commercial Account 0127,Retail,TX,ACTIVE,2021-05-08,2021-05-15 09:00:00
128,ACC100128,Commercial Account 0128,Construction,FL,ACTIVE,2021-05-09,2021-05-17 09:00:00
129,ACC100129,Commercial Account 0129,Manufacturing,NY,ACTIVE,2021-05-10,2021-05-19 09:00:00
130,ACC100130,Commercial Account 0130,Technology,IL,INACTIVE,2021-05-11,2021-05-21 09:00:00
131,ACC100131,Commercial Account 0131,Transportation,CA,ACTIVE,2021-05-12,2021-05-23 09:00:00
132,ACC100132,Commercial Account 0132,Healthcare,TX,ACTIVE,2021-05-13,2021-05-25 09:00:00
133,ACC100133,Commercial Account 0133,Hospitality,FL,ACTIVE,2021-05-14,2021-05-27 09:00:00
134,ACC100134,Commercial Account 0134,Retail,NY,ACTIVE,2021-05-15,2021-05-29 09:00:00
135,ACC100135,Commercial Account 0135,Construction,IL,ACTIVE,2021-05-16,2021-05-31 09:00:00
136,ACC100136,Commercial Account 0136,Manufacturing,CA,ACTIVE,2021-05-17,2021-06-02 09:00:00
137,ACC100137,Commercial Account 0137,Technology,TX,ACTIVE,2021-05-18,2021-06-04 09:00:00
138,ACC100138,Commercial Account 0138,Transportation,FL,ACTIVE,2021-05-19,2021-06-06 09:00:00
139,ACC100139,Commercial Account 0139,Healthcare,NY,ACTIVE,2021-05-20,2021-06-08 09:00:00
140,ACC100140,Commercial Account 0140,Hospitality,IL,CLOSED,2021-05-21,2021-06-10 09:00:00
141,ACC100141,Commercial Account 0141,Retail,CA,ACTIVE,2021-05-22,2021-06-12 09:00:00
142,ACC100142,Commercial Account 0142,Construction,TX,ACTIVE,2021-05-23,2021-06-14 09:00:00
143,ACC100143,Commercial Account 0143,Manufacturing,FL,ACTIVE,2021-05-24,2021-06-16 09:00:00
144,ACC100144,Commercial Account 0144,Technology,NY,ACTIVE,2021-05-25,2021-06-18 09:00:00
145,ACC100145,Commercial Account 0145,Transportation,IL,ACTIVE,2021-05-26,2021-06-20 09:00:00
146,ACC100146,Commercial Account 0146,Healthcare,CA,ACTIVE,2021-05-27,2021-06-22 09:00:00
147,ACC100147,Commercial Account 0147,Hospitality,TX,ACTIVE,2021-05-28,2021-06-24 09:00:00
148,ACC100148,Commercial Account 0148,Retail,FL,ACTIVE,2021-05-29,2021-06-26 09:00:00
149,ACC100149,Commercial Account 0149,Construction,NY,ACTIVE,2021-05-30,2021-06-28 09:00:00
150,ACC100150,Commercial Account 0150,Manufacturing,IL,INACTIVE,2021-05-31,2021-05-31 09:00:00
151,ACC100151,Commercial Account 0151,Technology,CA,ACTIVE,2021-06-01,2021-06-02 09:00:00
152,ACC100152,Commercial Account 0152,Transportation,TX,ACTIVE,2021-06-02,2021-06-04 09:00:00
153,ACC100153,Commercial Account 0153,Healthcare,FL,ACTIVE,2021-06-03,2021-06-06 09:00:00
154,ACC100154,Commercial Account 0154,Hospitality,NY,ACTIVE,2021-06-04,2021-06-08 09:00:00
155,ACC100155,Commercial Account 0155,Retail,IL,ACTIVE,2021-06-05,2021-06-10 09:00:00
156,ACC100156,Commercial Account 0156,Construction,CA,ACTIVE,2021-06-06,2021-06-12 09:00:00
157,ACC100157,Commercial Account 0157,Manufacturing,TX,ACTIVE,2021-06-07,2021-06-14 09:00:00
158,ACC100158,Commercial Account 0158,Technology,FL,ACTIVE,2021-06-08,2021-06-16 09:00:00
159,ACC100159,Commercial Account 0159,Transportation,NY,ACTIVE,2021-06-09,2021-06-18 09:00:00
160,ACC100160,Commercial Account 0160,Healthcare,IL,CLOSED,2021-06-10,2021-06-20 09:00:00
161,ACC100161,Commercial Account 0161,Hospitality,CA,ACTIVE,2021-06-11,2021-06-22 09:00:00
162,ACC100162,Commercial Account 0162,Retail,TX,ACTIVE,2021-06-12,2021-06-24 09:00:00
163,ACC100163,Commercial Account 0163,Construction,FL,ACTIVE,2021-06-13,2021-06-26 09:00:00
164,ACC100164,Commercial Account 0164,Manufacturing,NY,ACTIVE,2021-06-14,2021-06-28 09:00:00
165,ACC100165,Commercial Account 0165,Technology,IL,ACTIVE,2021-06-15,2021-06-30 09:00:00
166,ACC100166,Commercial Account 0166,Transportation,CA,ACTIVE,2021-06-16,2021-07-02 09:00:00
167,ACC100167,Commercial Account 0167,Healthcare,TX,ACTIVE,2021-06-17,2021-07-04 09:00:00
168,ACC100168,Commercial Account 0168,Hospitality,FL,ACTIVE,2021-06-18,2021-07-06 09:00:00
169,ACC100169,Commercial Account 0169,Retail,NY,ACTIVE,2021-06-19,2021-07-08 09:00:00
170,ACC100170,Commercial Account 0170,Construction,IL,INACTIVE,2021-06-20,2021-07-10 09:00:00
171,ACC100171,Commercial Account 0171,Manufacturing,CA,ACTIVE,2021-06-21,2021-07-12 09:00:00
172,ACC100172,Commercial Account 0172,Technology,TX,ACTIVE,2021-06-22,2021-07-14 09:00:00
173,ACC100173,Commercial Account 0173,Transportation,FL,ACTIVE,2021-06-23,2021-07-16 09:00:00
174,ACC100174,Commercial Account 0174,Healthcare,NY,ACTIVE,2021-06-24,2021-07-18 09:00:00
175,ACC100175,Commercial Account 0175,Hospitality,IL,ACTIVE,2021-06-25,2021-07-20 09:00:00
176,ACC100176,Commercial Account 0176,Retail,CA,ACTIVE,2021-06-26,2021-07-22 09:00:00
177,ACC100177,Commercial Account 0177,Construction,TX,ACTIVE,2021-06-27,2021-07-24 09:00:00
178,ACC100178,Commercial Account 0178,Manufacturing,FL,ACTIVE,2021-06-28,2021-07-26 09:00:00
179,ACC100179,Commercial Account 0179,Technology,NY,ACTIVE,2021-06-29,2021-07-28 09:00:00
180,ACC100180,Commercial Account 0180,Transportation,IL,CLOSED,2021-06-30,2021-06-30 09:00:00
181,ACC100181,Commercial Account 0181,Healthcare,CA,ACTIVE,2021-07-01,2021-07-02 09:00:00
182,ACC100182,Commercial Account 0182,Hospitality,TX,ACTIVE,2021-07-02,2021-07-04 09:00:00
183,ACC100183,Commercial Account 0183,Retail,FL,ACTIVE,2021-07-03,2021-07-06 09:00:00
184,ACC100184,Commercial Account 0184,Construction,NY,ACTIVE,2021-07-04,2021-07-08 09:00:00
185,ACC100185,Commercial Account 0185,Manufacturing,IL,ACTIVE,2021-07-05,2021-07-10 09:00:00
186,ACC100186,Commercial Account 0186,Technology,CA,ACTIVE,2021-07-06,2021-07-12 09:00:00
187,ACC100187,Commercial Account 0187,Transportation,TX,ACTIVE,2021-07-07,2021-07-14 09:00:00
188,ACC100188,Commercial Account 0188,Healthcare,FL,ACTIVE,2021-07-08,2021-07-16 09:00:00
189,ACC100189,Commercial Account 0189,Hospitality,NY,ACTIVE,2021-07-09,2021-07-18 09:00:00
190,ACC100190,Commercial Account 0190,Retail,IL,INACTIVE,2021-07-10,2021-07-20 09:00:00
191,ACC100191,Commercial Account 0191,Construction,CA,ACTIVE,2021-07-11,2021-07-22 09:00:00
192,ACC100192,Commercial Account 0192,Manufacturing,TX,ACTIVE,2021-07-12,2021-07-24 09:00:00
193,ACC100193,Commercial Account 0193,Technology,FL,ACTIVE,2021-07-13,2021-07-26 09:00:00
194,ACC100194,Commercial Account 0194,Transportation,NY,ACTIVE,2021-07-14,2021-07-28 09:00:00
195,ACC100195,Commercial Account 0195,Healthcare,IL,ACTIVE,2021-07-15,2021-07-30 09:00:00
196,ACC100196,Commercial Account 0196,Hospitality,CA,ACTIVE,2021-07-16,2021-08-01 09:00:00
197,ACC100197,Commercial Account 0197,Retail,TX,ACTIVE,2021-07-17,2021-08-03 09:00:00
198,ACC100198,Commercial Account 0198,Construction,FL,ACTIVE,2021-07-18,2021-08-05 09:00:00
199,ACC100199,Commercial Account 0199,Manufacturing,NY,ACTIVE,2021-07-19,2021-08-07 09:00:00
200,ACC100200,Commercial Account 0200,Technology,IL,CLOSED,2021-07-20,2021-08-09 09:00:00
201,ACC100201,Commercial Account 0201,Transportation,CA,ACTIVE,2021-07-21,2021-08-11 09:00:00
202,ACC100202,Commercial Account 0202,Healthcare,TX,ACTIVE,2021-07-22,2021-08-13 09:00:00
203,ACC100203,Commercial Account 0203,Hospitality,FL,ACTIVE,2021-07-23,2021-08-15 09:00:00
204,ACC100204,Commercial Account 0204,Retail,NY,ACTIVE,2021-07-24,2021-08-17 09:00:00
205,ACC100205,Commercial Account 0205,Construction,IL,ACTIVE,2021-07-25,2021-08-19 09:00:00
206,ACC100206,Commercial Account 0206,Manufacturing,CA,ACTIVE,2021-07-26,2021-08-21 09:00:00
207,ACC100207,Commercial Account 0207,Technology,TX,ACTIVE,2021-07-27,2021-08-23 09:00:00
208,ACC100208,Commercial Account 0208,Transportation,FL,ACTIVE,2021-07-28,2021-08-25 09:00:00
209,ACC100209,Commercial Account 0209,Healthcare,NY,ACTIVE,2021-07-29,2021-08-27 09:00:00
210,ACC100210,Commercial Account 0210,Hospitality,IL,INACTIVE,2021-07-30,2021-07-30 09:00:00
211,ACC100211,Commercial Account 0211,Retail,CA,ACTIVE,2021-07-31,2021-08-01 09:00:00
212,ACC100212,Commercial Account 0212,Construction,TX,ACTIVE,2021-08-01,2021-08-03 09:00:00
213,ACC100213,Commercial Account 0213,Manufacturing,FL,ACTIVE,2021-08-02,2021-08-05 09:00:00
214,ACC100214,Commercial Account 0214,Technology,NY,ACTIVE,2021-08-03,2021-08-07 09:00:00
215,ACC100215,Commercial Account 0215,Transportation,IL,ACTIVE,2021-08-04,2021-08-09 09:00:00
216,ACC100216,Commercial Account 0216,Healthcare,CA,ACTIVE,2021-08-05,2021-08-11 09:00:00
217,ACC100217,Commercial Account 0217,Hospitality,TX,ACTIVE,2021-08-06,2021-08-13 09:00:00
218,ACC100218,Commercial Account 0218,Retail,FL,ACTIVE,2021-08-07,2021-08-15 09:00:00
219,ACC100219,Commercial Account 0219,Construction,NY,ACTIVE,2021-08-08,2021-08-17 09:00:00
220,ACC100220,Commercial Account 0220,Manufacturing,IL,CLOSED,2021-08-09,2021-08-19 09:00:00
221,ACC100221,Commercial Account 0221,Technology,CA,ACTIVE,2021-08-10,2021-08-21 09:00:00
222,ACC100222,Commercial Account 0222,Transportation,TX,ACTIVE,2021-08-11,2021-08-23 09:00:00
223,ACC100223,Commercial Account 0223,Healthcare,FL,ACTIVE,2021-08-12,2021-08-25 09:00:00
224,ACC100224,Commercial Account 0224,Hospitality,NY,ACTIVE,2021-08-13,2021-08-27 09:00:00
225,ACC100225,Commercial Account 0225,Retail,IL,ACTIVE,2021-08-14,2021-08-29 09:00:00
226,ACC100226,Commercial Account 0226,Construction,CA,ACTIVE,2021-08-15,2021-08-31 09:00:00
227,ACC100227,Commercial Account 0227,Manufacturing,TX,ACTIVE,2021-08-16,2021-09-02 09:00:00
228,ACC100228,Commercial Account 0228,Technology,FL,ACTIVE,2021-08-17,2021-09-04 09:00:00
229,ACC100229,Commercial Account 0229,Transportation,NY,ACTIVE,2021-08-18,2021-09-06 09:00:00
230,ACC100230,Commercial Account 0230,Healthcare,IL,INACTIVE,2021-08-19,2021-09-08 09:00:00
231,ACC100231,Commercial Account 0231,Hospitality,CA,ACTIVE,2021-08-20,2021-09-10 09:00:00
232,ACC100232,Commercial Account 0232,Retail,TX,ACTIVE,2021-08-21,2021-09-12 09:00:00
233,ACC100233,Commercial Account 0233,Construction,FL,ACTIVE,2021-08-22,2021-09-14 09:00:00
234,ACC100234,Commercial Account 0234,Manufacturing,NY,ACTIVE,2021-08-23,2021-09-16 09:00:00
235,ACC100235,Commercial Account 0235,Technology,IL,ACTIVE,2021-08-24,2021-09-18 09:00:00
236,ACC100236,Commercial Account 0236,Transportation,CA,ACTIVE,2021-08-25,2021-09-20 09:00:00
237,ACC100237,Commercial Account 0237,Healthcare,TX,ACTIVE,2021-08-26,2021-09-22 09:00:00
238,ACC100238,Commercial Account 0238,Hospitality,FL,ACTIVE,2021-08-27,2021-09-24 09:00:00
239,ACC100239,Commercial Account 0239,Retail,NY,ACTIVE,2021-08-28,2021-09-26 09:00:00
240,ACC100240,Commercial Account 0240,Construction,IL,CLOSED,2021-08-29,2021-08-29 09:00:00
241,ACC100241,Commercial Account 0241,Manufacturing,CA,ACTIVE,2021-08-30,2021-08-31 09:00:00
242,ACC100242,Commercial Account 0242,Technology,TX,ACTIVE,2021-08-31,2021-09-02 09:00:00
243,ACC100243,Commercial Account 0243,Transportation,FL,ACTIVE,2021-09-01,2021-09-04 09:00:00
244,ACC100244,Commercial Account 0244,Healthcare,NY,ACTIVE,2021-09-02,2021-09-06 09:00:00
245,ACC100245,Commercial Account 0245,Hospitality,IL,ACTIVE,2021-09-03,2021-09-08 09:00:00
246,ACC100246,Commercial Account 0246,Retail,CA,ACTIVE,2021-09-04,2021-09-10 09:00:00
247,ACC100247,Commercial Account 0247,Construction,TX,ACTIVE,2021-09-05,2021-09-12 09:00:00
248,ACC100248,Commercial Account 0248,Manufacturing,FL,ACTIVE,2021-09-06,2021-09-14 09:00:00
249,ACC100249,Commercial Account 0249,Technology,NY,ACTIVE,2021-09-07,2021-09-16 09:00:00
250,ACC100250,Commercial Account 0250,Transportation,IL,INACTIVE,2021-09-08,2021-09-18 09:00:00
251,ACC100251,Commercial Account 0251,Healthcare,CA,ACTIVE,2021-09-09,2021-09-20 09:00:00
252,ACC100252,Commercial Account 0252,Hospitality,TX,ACTIVE,2021-09-10,2021-09-22 09:00:00
253,ACC100253,Commercial Account 0253,Retail,FL,ACTIVE,2021-09-11,2021-09-24 09:00:00
254,ACC100254,Commercial Account 0254,Construction,NY,ACTIVE,2021-09-12,2021-09-26 09:00:00
255,ACC100255,Commercial Account 0255,Manufacturing,IL,ACTIVE,2021-09-13,2021-09-28 09:00:00
256,ACC100256,Commercial Account 0256,Technology,CA,ACTIVE,2021-09-14,2021-09-30 09:00:00
257,ACC100257,Commercial Account 0257,Transportation,TX,ACTIVE,2021-09-15,2021-10-02 09:00:00
258,ACC100258,Commercial Account 0258,Healthcare,FL,ACTIVE,2021-09-16,2021-10-04 09:00:00
259,ACC100259,Commercial Account 0259,Hospitality,NY,ACTIVE,2021-09-17,2021-10-06 09:00:00
260,ACC100260,Commercial Account 0260,Retail,IL,CLOSED,2021-09-18,2021-10-08 09:00:00
261,ACC100261,Commercial Account 0261,Construction,CA,ACTIVE,2021-09-19,2021-10-10 09:00:00
262,ACC100262,Commercial Account 0262,Manufacturing,TX,ACTIVE,2021-09-20,2021-10-12 09:00:00
