claim_id,policy_id,claim_number,claim_date,claim_status,claim_type,paid_amount,reserve_amount,recovery_amount,incurred_amount,loss_date,reported_date
26,26,CLM0000026,2022-01-27,OPEN,Liability,13689.42,21827.7,1492.22,34024.9,2022-01-21,2022-01-28
27,27,CLM0000027,2022-01-28,UNDER_REVIEW,Glass,5608.71,4457.95,4767.5,5299.16,2022-01-28,2022-02-01
28,28,CLM0000028,2022-01-29,APPROVED,Windstorm,4862.34,977.18,4645.49,1194.03,2022-01-20,2022-01-30
29,29,CLM0000029,2022-01-30,REJECTED,Collision,868.88,22011.24,4734.75,18145.37,2022-01-28,2022-02-04
30,30,CLM0000030,2022-01-31,CLOSED,Fire,7289.86,2195.71,3803.01,5682.56,2022-01-27,2022-02-01
31,31,CLM0000031,2022-02-01,OPEN,Flood,9896.26,23697.79,825.63,32768.42,2022-01-19,2022-02-02
32,32,CLM0000032,2022-02-02,UNDER_REVIEW,Theft,13933.7,19004.0,3449.34,29488.36,2022-01-24,2022-02-05
33,33,CLM0000033,2022-02-03,APPROVED,Liability,14927.24,16422.01,2190.5,29158.75,2022-01-20,2022-02-03
34,34,CLM0000034,2022-02-04,REJECTED,Glass,3718.58,2068.63,105.17,5682.04,2022-01-28,2022-02-08
35,35,CLM0000035,2022-02-05,CLOSED,Windstorm,3303.26,2239.33,3155.51,2387.08,2022-01-29,2022-02-05
36,36,CLM0000036,2022-02-06,OPEN,Collision,13581.3,21561.07,354.29,34788.08,2022-01-30,2022-02-08
37,37,CLM0000037,2022-02-07,UNDER_REVIEW,Fire,10034.67,5748.8,661.56,15121.91,2022-01-23,2022-02-08
38,38,CLM0000038,2022-02-08,APPROVED,Flood,11769.29,20283.68,952.05,31100.92,2022-02-05,2022-02-13
39,39,CLM0000039,2022-02-09,REJECTED,Theft,6465.77,10877.68,2335.12,15008.33,2022-02-08,2022-02-14
40,40,CLM0000040,2022-02-10,CLOSED,Liability,9801.83,16331.4,303.06,25830.17,2022-01-31,2022-02-10
41,41,CLM0000041,2022-02-11,OPEN,Glass,3729.85,5160.12,2243.07,6646.9,2022-01-29,2022-02-12
42,42,CLM0000042,2022-02-12,UNDER_REVIEW,Windstorm,4178.18,6620.26,4616.33,6182.11,2022-01-29,2022-02-16
43,43,CLM0000043,2022-02-13,APPROVED,Collision,1468.63,16477.55,2702.94,15243.24,2022-02-13,2022-02-13
44,44,CLM0000044,2022-02-14,REJECTED,Fire,13895.5,21293.05,831.56,34356.99,2022-01-30,2022-02-17
45,45,CLM0000045,2022-02-15,CLOSED,Flood,3206.21,10325.49,293.18,13238.52,2022-02-03,2022-02-15
46,46,CLM0000046,2022-02-16,OPEN,Theft,14779.63,6997.47,3920.35,17856.75,2022-02-02,2022-02-18
47,47,CLM0000047,2022-02-17,UNDER_REVIEW,Liability,6345.11,23954.28,4977.11,25322.28,2022-02-02,2022-02-18
48,48,CLM0000048,2022-02-18,APPROVED,Glass,2848.47,5833.67,292.42,8389.72,2022-02-17,2022-02-23
49,49,CLM0000049,2022-02-19,REJECTED,Windstorm,4704.07,1728.49,2383.94,4048.62,2022-02-14,2022-02-19
50,50,CLM0000050,2022-02-20,CLOSED,Collision,14411.68,2462.73,929.12,15945.29,2022-02-18,2022-02-25
51,51,CLM0000051,2022-02-21,OPEN,Fire,12927.29,10392.5,4707.98,18611.81,2022-02-14,2022-02-25
52,52,CLM0000052,2022-02-22,UNDER_REVIEW,Flood,8917.79,15674.85,2096.12,22496.52,2022-02-12,2022-02-24
53,53,CLM0000053,2022-02-23,APPROVED,Theft,3063.89,18046.7,1193.43,19917.16,2022-02-11,2022-02-24
54,54,CLM0000054,2022-02-24,REJECTED,Liability,10075.35,7849.93,1580.89,16344.39,2022-02-22,2022-02-24
55,55,CLM0000055,2022-02-25,CLOSED,Glass,6874.28,24962.13,4980.48,26855.93,2022-02-23,2022-03-01
56,56,CLM0000056,2022-02-26,OPEN,Windstorm,3197.31,6997.41,4666.3,5528.42,2022-02-24,2022-02-27
57,57,CLM0000057,2022-02-27,UNDER_REVIEW,Collision,5542.91,4364.8,4168.72,5738.99,2022-02-18,2022-03-03
58,58,CLM0000058,2022-02-28,APPROVED,Fire,14757.8,20273.95,2644.7,32387.05,2022-02-19,2022-03-05
59,59,CLM0000059,2022-03-01,REJECTED,Flood,1553.8,22014.11,1322.33,22245.58,2022-02-26,2022-03-06
60,60,CLM0000060,2022-03-02,CLOSED,Theft,8298.35,7172.53,3024.15,12446.73,2022-02-20,2022-03-03
61,61,CLM0000061,2022-03-03,OPEN,Liability,10312.46,21396.36,2527.05,29181.77,2022-02-23,2022-03-03
62,62,CLM0000062,2022-03-04,UNDER_REVIEW,Glass,1384.48,10877.61,1383.4,10878.69,2022-03-04,2022-03-06
63,63,CLM0000063,2022-03-05,APPROVED,Windstorm,11566.79,16109.28,1309.78,26366.29,2022-02-19,2022-03-09
64,64,CLM0000064,2022-03-06,REJECTED,Collision,10585.01,14242.22,559.37,24267.86,2022-03-02,2022-03-10
65,65,CLM0000065,2022-03-07,CLOSED,Fire,540.42,9545.79,2762.63,7323.58,2022-02-22,2022-03-08
66,66,CLM0000066,2022-03-08,OPEN,Flood,627.43,9433.96,4665.44,5395.95,2022-03-07,2022-03-10
67,67,CLM0000067,2022-03-09,UNDER_REVIEW,Theft,3151.15,6613.48,513.97,9250.66,2022-02-24,2022-03-13
68,68,CLM0000068,2022-03-10,APPROVED,Liability,11242.16,23181.21,1183.69,33239.68,2022-03-05,2022-03-11
69,69,CLM0000069,2022-03-11,REJECTED,Glass,13221.24,1107.27,3682.82,10645.69,2022-03-01,2022-03-14
70,70,CLM0000070,2022-03-12,CLOSED,Windstorm,12033.53,21669.57,4053.75,29649.35,2022-03-04,2022-03-13
71,71,CLM0000071,2022-03-13,OPEN,Collision,11810.62,3148.34,4360.83,10598.13,2022-02-26,2022-03-14
72,72,CLM0000072,2022-03-14,UNDER_REVIEW,Fire,2993.59,23002.07,1748.29,24247.37,2022-03-07,2022-03-15
73,73,CLM0000073,2022-03-15,APPROVED,Flood,354.97,5231.68,1641.31,3945.34,2022-03-13,2022-03-17
74,74,CLM0000074,2022-03-16,REJECTED,Theft,5267.19,12980.44,3397.59,14850.04,2022-03-06,2022-03-16
75,75,CLM0000075,2022-03-17,CLOSED,Liability,1730.13,24274.81,892.84,25112.1,2022-03-09,2022-03-17
76,76,CLM0000076,2022-03-18,OPEN,Glass,1626.04,11146.81,3642.73,9130.12,2022-03-08,2022-03-21
77,77,CLM0000077,2022-03-19,UNDER_REVIEW,Windstorm,9093.13,13029.86,1925.98,20197.01,2022-03-13,2022-03-21
78,78,CLM0000078,2022-03-20,APPROVED,Collision,665.8,11183.41,2599.6,9249.61,2022-03-14,2022-03-22
79,79,CLM0000079,2022-03-21,REJECTED,Fire,6469.46,23747.42,4603.85,25613.03,2022-03-11,2022-03-26
80,80,CLM0000080,2022-03-22,CLOSED,Flood,12720.23,18133.98,1501.61,29352.6,2022-03-13,2022-03-27
81,81,CLM0000081,2022-03-23,OPEN,Theft,6125.89,10358.81,1478.28,15006.42,2022-03-19,2022-03-24
82,82,CLM0000082,2022-03-24,UNDER_REVIEW,Liability,6306.7,23538.91,3386.59,26459.02,2022-03-19,2022-03-28
83,83,CLM0000083,2022-03-25,APPROVED,Glass,8536.58,10448.84,4168.63,14816.79,2022-03-16,2022-03-27
84,84,CLM0000084,2022-03-26,REJECTED,Windstorm,3152.74,19751.09,3033.31,19870.52,2022-03-16,2022-03-29
85,85,CLM0000085,2022-03-27,CLOSED,Collision,6626.79,17052.87,2555.87,21123.79,2022-03-22,2022-04-01
86,86,CLM0000086,2022-03-28,OPEN,Fire,1271.93,13128.57,3164.7,11235.8,2022-03-18,2022-03-28
87,87,CLM0000087,2022-03-29,UNDER_REVIEW,Flood,12276.35,18902.88,3363.98,27815.25,2022-03-22,2022-03-30
88,88,CLM0000088,2022-03-30,APPROVED,Theft,2210.31,1632.24,4919.68,-1077.13,2022-03-28,2022-04-02
89,89,CLM0000089,2022-03-31,REJECTED,Liability,6216.62,15929.25,972.18,21173.69,2022-03-19,2022-04-03
90,90,CLM0000090,2022-04-01,CLOSED,Glass,5994.79,4115.5,3438.11,6672.18,2022-03-29,2022-04-04
91,91,CLM0000091,2022-04-02,OPEN,Windstorm,3282.62,20200.69,3479.56,20003.75,2022-03-19,2022-04-02
92,92,CLM0000092,2022-04-03,UNDER_REVIEW,Collision,8361.09,22978.02,606.79,30732.32,2022-03-30,2022-04-06
93,93,CLM0000093,2022-04-04,APPROVED,Fire,10013.67,24703.37,2977.26,31739.78,2022-03-21,2022-04-08
94,94,CLM0000094,2022-04-05,REJECTED,Flood,12225.1,22354.5,2133.7,32445.9,2022-03-22,2022-04-06
95,95,CLM0000095,2022-04-06,CLOSED,Theft,11154.83,12129.52,1295.96,21988.39,2022-03-30,2022-04-11
96,96,CLM0000096,2022-04-07,OPEN,Liability,4159.67,19553.03,2422.99,21289.71,2022-03-31,2022-04-09
97,97,CLM0000097,2022-04-08,UNDER_REVIEW,Glass,6598.09,17981.85,1172.47,23407.47,2022-03-29,2022-04-10
98,98,CLM0000098,2022-04-09,APPROVED,Windstorm,13395.4,2474.15,754.15,15115.4,2022-03-28,2022-04-14
99,99,CLM0000099,2022-04-10,REJECTED,Collision,2292.08,5741.85,2074.34,5959.59,2022-03-31,2022-04-14
100,100,CLM0000100,2022-04-11,CLOSED,Fire,6988.86,2025.51,4164.46,4849.91,2022-03-30,2022-04-15
101,101,CLM0000101,2022-04-12,OPEN,Flood,14190.93,978.53,4403.28,10766.18,2022-03-31,2022-04-15
102,102,CLM0000102,2022-04-13,UNDER_REVIEW,Theft,88.44,9118.09,3767.38,5439.15,2022-03-31,2022-04-17
103,103,CLM0000103,2022-04-14,APPROVED,Liability,11212.74,13880.24,3016.26,22076.72,2022-04-07,2022-04-17
104,104,CLM0000104,2022-04-15,REJECTED,Glass,3291.32,11177.98,145.12,14324.18,2022-04-05,2022-04-20
105,105,CLM0000105,2022-04-16,CLOSED,Windstorm,10187.13,10405.76,825.22,19767.67,2022-04-02,2022-04-17
106,106,CLM0000106,2022-04-17,OPEN,Collision,14710.83,13586.03,4534.64,23762.22,2022-04-17,2022-04-17
107,107,CLM0000107,2022-04-18,UNDER_REVIEW,Fire,9641.24,3824.64,2308.49,11157.39,2022-04-17,2022-04-20
108,108,CLM0000108,2022-04-19,APPROVED,Flood,5686.56,5685.68,1634.23,9738.01,2022-04-07,2022-04-21
109,109,CLM0000109,2022-04-20,REJECTED,Theft,11280.15,20882.14,1261.36,30900.93,2022-04-18,2022-04-23
110,110,CLM0000110,2022-04-21,CLOSED,Liability,290.75,13715.77,4999.54,9006.98,2022-04-10,2022-04-22
111,111,CLM0000111,2022-04-22,OPEN,Glass,9752.16,19640.21,3258.77,26133.6,2022-04-22,2022-04-23
112,112,CLM0000112,2022-04-23,UNDER_REVIEW,Windstorm,2990.41,999.31,761.91,3227.81,2022-04-19,2022-04-26
113,113,CLM0000113,2022-04-24,APPROVED,Collision,10041.88,14317.25,1089.82,23269.31,2022-04-16,2022-04-26
114,114,CLM0000114,2022-04-25,REJECTED,Fire,2516.84,15377.56,3739.63,14154.77,2022-04-22,2022-04-26
115,115,CLM0000115,2022-04-26,CLOSED,Flood,14470.81,3148.42,128.39,17490.84,2022-04-17,2022-04-30
116,116,CLM0000116,2022-04-27,OPEN,Theft,10160.21,23975.23,1983.27,32152.17,2022-04-21,2022-04-27
117,117,CLM0000117,2022-04-28,UNDER_REVIEW,Liability,8881.47,20849.01,1214.25,28516.23,2022-04-19,2022-05-03
118,118,CLM0000118,2022-04-29,APPROVED,Glass,9006.17,3465.85,4919.22,7552.8,2022-04-28,2022-05-01
119,119,CLM0000119,2022-04-30,REJECTED,Windstorm,7991.18,16707.27,344.78,24353.67,2022-04-20,2022-04-30
120,120,CLM0000120,2022-05-01,CLOSED,Collision,12743.63,20647.11,527.69,32863.05,2022-04-20,2022-05-06
121,121,CLM0000121,2022-05-02,OPEN,Fire,13373.63,11763.61,764.96,24372.28,2022-04-27,2022-05-07
122,122,CLM0000122,2022-05-03,UNDER_REVIEW,Flood,7826.2,16436.21,3079.56,21182.85,2022-04-18,2022-05-06
123,123,CLM0000123,2022-05-04,APPROVED,Theft,6533.62,18410.14,1341.98,23601.78,2022-04-27,2022-05-04
124,124,CLM0000124,2022-05-05,REJECTED,Liability,4183.92,11544.65,3752.38,11976.19,2022-04-23,2022-05-07
125,125,CLM0000125,2022-05-06,CLOSED,Glass,430.5,21348.34,909.2,20869.64,2022-04-30,2022-05-08
126,126,CLM0000126,2022-05-07,OPEN,Windstorm,11967.49,8838.3,4401.6,16404.19,2022-04-29,2022-05-11
127,127,CLM0000127,2022-05-08,UNDER_REVIEW,Collision,152.27,23727.53,428.06,23451.74,2022-04-25,2022-05-11
128,128,CLM0000128,2022-05-09,APPROVED,Fire,8327.64,6387.94,2380.47,12335.11,2022-04-24,2022-05-12
129,129,CLM0000129,2022-05-10,REJECTED,Flood,11893.99,2779.81,1107.98,13565.82,2022-05-03,2022-05-12
130,130,CLM0000130,2022-05-11,CLOSED,Theft,9959.4,9541.0,2767.36,16733.04,2022-04-30,2022-05-14
131,131,CLM0000131,2022-05-12,OPEN,Liability,14949.47,13984.52,1759.05,27174.94,2022-04-28,2022-05-14
132,132,CLM0000132,2022-05-13,UNDER_REVIEW,Glass,4599.34,6148.18,3606.42,7141.1,2022-05-03,2022-05-13
133,133,CLM0000133,2022-05-14,APPROVED,Windstorm,11143.22,23796.5,3450.82,31488.9,2022-05-08,2022-05-15
134,134,CLM0000134,2022-05-15,REJECTED,Collision,11079.07,7274.24,2947.93,15405.38,2022-05-06,2022-05-15
135,135,CLM0000135,2022-05-16,CLOSED,Fire,12489.43,7758.04,1804.41,18443.06,2022-05-07,2022-05-16
136,136,CLM0000136,2022-05-17,OPEN,Flood,10620.28,3601.28,227.58,13993.98,2022-05-16,2022-05-21
137,137,CLM0000137,2022-05-18,UNDER_REVIEW,Theft,4382.05,23630.2,3189.35,24822.9,2022-05-03,2022-05-18
138,138,CLM0000138,2022-05-19,APPROVED,Liability,13090.8,14564.57,2346.98,25308.39,2022-05-05,2022-05-21
139,139,CLM0000139,2022-05-20,REJECTED,Glass,2765.46,1758.73,4705.32,-181.13,2022-05-05,2022-05-20
140,140,CLM0000140,2022-05-21,CLOSED,Windstorm,12331.73,10317.33,370.41,22278.65,2022-05-20,2022-05-22
141,141,CLM0000141,2022-05-22,OPEN,Collision,2237.96,14289.57,1519.18,15008.35,2022-05-15,2022-05-22
142,142,CLM0000142,2022-05-23,UNDER_REVIEW,Fire,8371.1,10696.26,2980.63,16086.73,2022-05-16,2022-05-27
143,143,CLM0000143,2022-05-24,APPROVED,Flood,5705.67,22758.36,1486.77,26977.26,2022-05-11,2022-05-26
144,144,CLM0000144,2022-05-25,REJECTED,Theft,8529.44,1975.64,4800.54,5704.54,2022-05-22,2022-05-26
145,145,CLM0000145,2022-05-26,CLOSED,Liability,9382.73,6983.83,405.94,15960.62,2022-05-19,2022-05-27
146,146,CLM0000146,2022-05-27,OPEN,Glass,8279.88,4335.05,2042.59,10572.34,2022-05-12,2022-05-29
147,147,CLM0000147,2022-05-28,UNDER_REVIEW,Windstorm,489.6,7558.57,1413.59,6634.58,2022-05-14,2022-05-28
148,148,CLM0000148,2022-05-29,APPROVED,Collision,10310.77,23135.82,3939.14,29507.45,2022-05-23,2022-06-01
149,149,CLM0000149,2022-05-30,REJECTED,Fire,1721.64,6007.83,744.95,6984.52,2022-05-22,2022-05-31
150,150,CLM0000150,2022-05-31,CLOSED,Flood,1071.15,4565.11,1538.06,4098.2,2022-05-22,2022-06-03
151,151,CLM0000151,2022-06-01,OPEN,Theft,1865.3,17372.61,3498.67,15739.24,2022-05-24,2022-06-05
152,152,CLM0000152,2022-06-02,UNDER_REVIEW,Liability,8099.72,11225.09,2990.18,16334.63,2022-05-20,2022-06-07
153,153,CLM0000153,2022-06-03,APPROVED,Glass,4834.82,6634.01,456.63,11012.2,2022-06-03,2022-06-08
154,154,CLM0000154,2022-06-04,REJECTED,Windstorm,12321.32,14618.05,3815.55,23123.82,2022-05-30,2022-06-07
155,155,CLM0000155,2022-06-05,CLOSED,Collision,7784.46,11334.62,1390.78,17728.3,2022-05-23,2022-06-10
156,156,CLM0000156,2022-06-06,OPEN,Fire,12213.67,24241.85,2350.05,34105.47,2022-05-24,2022-06-08
157,157,CLM0000157,2022-06-07,UNDER_REVIEW,Flood,4815.87,3062.7,804.12,7074.45,2022-05-25,2022-06-12
158,158,CLM0000158,2022-06-08,APPROVED,Theft,7432.04,16733.3,2002.26,22163.08,2022-06-07,2022-06-11
159,159,CLM0000159,2022-06-09,REJECTED,Liability,1320.9,6683.77,579.61,7425.06,2022-05-28,2022-06-13
160,160,CLM0000160,2022-06-10,CLOSED,Glass,12373.91,528.2,4346.84,8555.27,2022-05-27,2022-06-13
161,161,CLM0000161,2022-06-11,OPEN,Windstorm,813.06,13201.77,3113.17,10901.66,2022-05-27,2022-06-16
162,162,CLM0000162,2022-06-12,UNDER_REVIEW,Collision,6630.61,1764.49,1335.28,7059.82,2022-06-08,2022-06-14
163,163,CLM0000163,2022-06-13,APPROVED,Fire,6571.74,17607.13,607.13,23571.74,2022-06-06,2022-06-18
164,164,CLM0000164,2022-06-14,REJECTED,Flood,2375.67,13995.56,2761.26,13609.97,2022-06-12,2022-06-15
165,165,CLM0000165,2022-06-15,CLOSED,Theft,14883.86,22866.78,2307.24,35443.4,2022-06-12,2022-06-20
166,166,CLM0000166,2022-06-16,OPEN,Liability,12482.15,12710.2,3583.02,21609.33,2022-06-08,2022-06-19
167,167,CLM0000167,2022-06-17,UNDER_REVIEW,Glass,12520.86,24515.99,1218.65,35818.2,2022-06-13,2022-06-20
168,168,CLM0000168,2022-06-18,APPROVED,Windstorm,2859.16,15184.75,3731.46,14312.45,2022-06-14,2022-06-18
169,169,CLM0000169,2022-06-19,REJECTED,Collision,4143.71,19855.15,2074.71,21924.15,2022-06-11,2022-06-19
170,170,CLM0000170,2022-06-20,CLOSED,Fire,4242.58,7814.62,2934.69,9122.51,2022-06-05,2022-06-21
171,171,CLM0000171,2022-06-21,OPEN,Flood,6698.21,12366.36,1662.2,17402.37,2022-06-09,2022-06-24
172,172,CLM0000172,2022-06-22,UNDER_REVIEW,Theft,13992.78,21805.24,4903.87,30894.15,2022-06-15,2022-06-26
173,173,CLM0000173,2022-06-23,APPROVED,Liability,5744.56,21472.32,2053.88,25163.0,2022-06-13,2022-06-28
174,174,CLM0000174,2022-06-24,REJECTED,Glass,7094.64,22879.04,1906.16,28067.52,2022-06-20,2022-06-27
175,175,CLM0000175,2022-06-25,CLOSED,Windstorm,14472.37,3593.03,4826.77,13238.63,2022-06-15,2022-06-25
176,176,CLM0000176,2022-06-26,OPEN,Collision,13112.86,11287.5,2629.76,21770.6,2022-06-12,2022-06-26
177,177,CLM0000177,2022-06-27,UNDER_REVIEW,Fire,10836.66,10544.48,3273.91,18107.23,2022-06-23,2022-06-27
178,178,CLM0000178,2022-06-28,APPROVED,Flood,7042.36,24245.49,1692.81,29595.04,2022-06-16,2022-07-03
179,179,CLM0000179,2022-06-29,REJECTED,Theft,1204.73,8549.86,3371.79,6382.8,2022-06-17,2022-07-01
180,180,CLM0000180,2022-06-30,CLOSED,Liability,9401.99,22242.25,2439.74,29204.5,2022-06-29,2022-07-04
181,181,CLM0000181,2022-07-01,OPEN,Glass,1026.31,15963.44,4604.65,12385.1,2022-06-24,2022-07-06
182,182,CLM0000182,2022-07-02,UNDER_REVIEW,Windstorm,1355.69,24469.27,3801.85,22023.11,2022-06-29,2022-07-05
183,183,CLM0000183,2022-07-03,APPROVED,Collision,2495.47,7836.92,144.74,10187.65,2022-06-23,2022-07-03
184,184,CLM0000184,2022-07-04,REJECTED,Fire,4400.52,9683.61,727.85,13356.28,2022-06-21,2022-07-08
185,185,CLM0000185,2022-07-05,CLOSED,Flood,10227.01,4911.39,875.35,14263.05,2022-06-23,2022-07-09
186,186,CLM0000186,2022-07-06,OPEN,Theft,10247.02,12692.85,2915.79,20024.08,2022-06-29,2022-07-09
187,187,CLM0000187,2022-07-07,UNDER_REVIEW,Liability,9568.57,11759.48,3334.2,17993.85,2022-06-23,2022-07-09
188,188,CLM0000188,2022-07-08,APPROVED,Glass,10164.16,4370.4,2208.65,12325.91,2022-06-27,2022-07-12
189,189,CLM0000189,2022-07-09,REJECTED,Windstorm,4487.31,24069.71,3451.57,25105.45,2022-06-25,2022-07-11
190,190,CLM0000190,2022-07-10,CLOSED,Collision,2988.25,9924.98,2416.04,10497.19,2022-07-03,2022-07-13
191,191,CLM0000191,2022-07-11,OPEN,Fire,8578.84,14582.89,4963.46,18198.27,2022-07-02,2022-07-11
192,192,CLM0000192,2022-07-12,UNDER_REVIEW,Flood,14669.17,16626.63,1372.4,29923.4,2022-07-11,2022-07-16
193,193,CLM0000193,2022-07-13,APPROVED,Theft,11177.58,20904.55,4514.67,27567.46,2022-07-06,2022-07-17
194,194,CLM0000194,2022-07-14,REJECTED,Liability,12028.98,5865.61,950.66,16943.93,2022-07-06,2022-07-19
195,195,CLM0000195,2022-07-15,CLOSED,Glass,11333.66,19303.03,3404.28,27232.41,2022-07-11,2022-07-20
196,196,CLM0000196,2022-07-16,OPEN,Windstorm,1457.46,15872.72,197.11,17133.07,2022-07-02,2022-07-16
197,197,CLM0000197,2022-07-17,UNDER_REVIEW,Collision,8693.61,18442.81,450.67,26685.75,2022-07-08,2022-07-19
198,198,CLM0000198,2022-07-18,APPROVED,Fire,11212.21,4803.18,660.8,15354.59,2022-07-07,2022-07-22
199,199,CLM0000199,2022-07-19,REJECTED,Flood,7526.92,7176.92,822.72,13881.12,2022-07-04,2022-07-21
200,200,CLM0000200,2022-07-20,CLOSED,Theft,11198.39,8798.52,575.85,19421.06,2022-07-18,2022-07-21
201,201,CLM0000201,2022-07-21,OPEN,Liability,11312.27,6027.56,3381.62,13958.21,2022-07-09,2022-07-25
202,202,CLM0000202,2022-07-22,UNDER_REVIEW,Glass,5486.63,19871.71,69.59,25288.75,2022-07-19,2022-07-25
203,203,CLM0000203,2022-07-23,APPROVED,Windstorm,5528.78,18850.78,1310.81,23068.75,2022-07-11,2022-07-28
204,204,CLM0000204,2022-07-24,REJECTED,Collision,14104.38,3154.48,1169.11,16089.75,2022-07-24,2022-07-28
205,205,CLM0000205,2022-07-25,CLOSED,Fire,13263.52,14254.48,4576.28,22941.72,2022-07-18,2022-07-30
206,206,CLM0000206,2022-07-26,OPEN,Flood,948.26,20684.46,4546.94,17085.78,2022-07-17,2022-07-31
207,207,CLM0000207,2022-07-27,UNDER_REVIEW,Theft,6124.44,3924.54,4731.31,5317.67,2022-07-18,2022-07-30
208,208,CLM0000208,2022-07-28,APPROVED,Liability,1741.81,6252.6,2687.73,5306.68,2022-07-16,2022-07-31
209,209,CLM0000209,2022-07-29,REJECTED,Glass,5565.17,23759.83,3482.42,25842.58,2022-07-16,2022-08-02
210,210,CLM0000210,2022-07-30,CLOSED,Windstorm,11134.04,4285.81,2074.42,13345.43,2022-07-27,2022-08-02
211,211,CLM0000211,2022-07-31,OPEN,Collision,9234.78,23506.8,1398.7,31342.88,2022-07-20,2022-08-01
212,212,CLM0000212,2022-08-01,UNDER_REVIEW,Fire,6650.75,23788.6,4277.25,26162.1,2022-07-29,2022-08-06
213,213,CLM0000213,2022-08-02,APPROVED,Flood,5510.02,22591.56,3224.13,24877.45,2022-08-01,2022-08-05
214,214,CLM0000214,2022-08-03,REJECTED,Theft,4138.22,24221.07,4745.05,23614.24,2022-07-20,2022-08-03
215,215,CLM0000215,2022-08-04,CLOSED,Liability,9941.53,16221.76,2985.73,23177.56,2022-08-04,2022-08-04
216,216,CLM0000216,2022-08-05,OPEN,Glass,11801.92,6467.44,629.62,17639.74,2022-07-30,2022-08-05
217,217,CLM0000217,2022-08-06,UNDER_REVIEW,Windstorm,12447.27,14078.09,2931.92,23593.44,2022-07-30,2022-08-08
218,218,CLM0000218,2022-08-07,APPROVED,Collision,11615.53,19821.77,2979.91,28457.39,2022-07-30,2022-08-08
219,219,CLM0000219,2022-08-08,REJECTED,Fire,14812.91,13735.28,3992.57,24555.62,2022-08-05,2022-08-13
220,220,CLM0000220,2022-08-09,CLOSED,Flood,12996.72,3729.18,1791.21,14934.69,2022-08-02,2022-08-13
